ps_id,in_metadata,in_inverter,in_meteorological,inverter_timestamps,meteorological_timestamps,timestamp_overlap,inverter_id_count
PS_001,True,True,True,42336,42336,42336,41
PS_002,True,True,True,42336,42336,42336,4
PS_003,True,True,True,42336,42336,42336,4
PS_004,True,True,True,42336,42336,42336,11
PS_005,True,True,True,40800,40800,40800,20
PS_006,True,True,True,38112,35520,35520,16
PS_007,True,True,True,38112,38112,38112,4
PS_008,True,True,True,38016,37632,37632,16
PS_009,True,True,True,35040,35040,35040,4
PS_010,True,True,True,34848,34848,34848,8
PS_011,True,True,True,34080,34080,34080,9
PS_012,True,True,True,33984,32736,32736,20
PS_013,True,True,True,31968,31968,31968,4
PS_014,True,True,True,11520,11712,11520,10
PS_015,True,True,True,28128,28896,28128,10
PS_016,True,True,True,26976,21216,21216,10
PS_017,True,True,True,25248,24960,24960,10
PS_018,True,True,True,19488,19200,19200,15
PS_019,True,True,True,24960,24960,24960,15
PS_020,True,True,True,24960,24960,24960,10
PS_021,True,True,True,24960,18624,18624,15
PS_022,True,True,True,23904,24960,23904,10
PS_023,True,True,True,24000,24960,24000,10
PS_024,True,True,True,23424,23424,23424,10
PS_025,True,True,True,24096,24000,24000,15
PS_026,True,True,True,24576,24576,24576,10
PS_027,True,True,True,24288,19296,19296,15
PS_028,True,True,True,24192,24192,24192,4
PS_029,True,True,True,24288,24000,24000,15
PS_030,True,True,True,24096,24096,24096,10
PS_031,True,True,True,16320,16320,16320,15
PS_032,True,True,True,23904,23904,23904,15
PS_033,True,True,True,23520,23520,23520,12
PS_034,True,True,True,23328,23328,23328,16
PS_035,True,True,True,18912,18912,18912,20
PS_036,True,True,True,18816,18816,18816,10
PS_037,True,True,True,18240,18144,18144,8
PS_038,True,True,True,18240,18240,18240,10
PS_039,True,True,True,17856,17856,17856,20
PS_040,True,True,True,16608,13056,13056,4
PS_041,True,True,True,16800,16800,16800,9
PS_042,True,True,True,9792,9792,9792,8
PS_043,True,True,True,9792,9792,9792,8
PS_044,True,True,True,9792,9792,9792,8
PS_045,True,True,True,9792,9792,9792,20
PS_046,True,True,True,9792,9792,9792,20
PS_047,True,True,True,9792,9792,9792,20
PS_048,True,True,True,9792,9792,9792,8
PS_049,True,True,True,9792,9792,9792,8
PS_050,True,True,True,9792,9792,9792,8
PS_051,True,True,True,8832,8832,8832,8
