group_id,source_plant_id,target_plant_id
TW_04b9f5d95694,PS_002,PS_003
TW_04b9f5d95694,PS_003,PS_002
TW_4467a039e00b,PS_042,PS_043
TW_4467a039e00b,PS_042,PS_044
TW_4467a039e00b,PS_042,PS_045
TW_4467a039e00b,PS_042,PS_046
TW_4467a039e00b,PS_042,PS_047
TW_4467a039e00b,PS_042,PS_048
TW_4467a039e00b,PS_042,PS_049
TW_4467a039e00b,PS_042,PS_050
TW_4467a039e00b,PS_042,PS_051
TW_4467a039e00b,PS_043,PS_042
TW_4467a039e00b,PS_043,PS_044
TW_4467a039e00b,PS_043,PS_045
TW_4467a039e00b,PS_043,PS_046
TW_4467a039e00b,PS_043,PS_047
TW_4467a039e00b,PS_043,PS_048
TW_4467a039e00b,PS_043,PS_049
TW_4467a039e00b,PS_043,PS_050
TW_4467a039e00b,PS_043,PS_051
TW_4467a039e00b,PS_044,PS_042
TW_4467a039e00b,PS_044,PS_043
TW_4467a039e00b,PS_044,PS_045
TW_4467a039e00b,PS_044,PS_046
TW_4467a039e00b,PS_044,PS_047
TW_4467a039e00b,PS_044,PS_048
TW_4467a039e00b,PS_044,PS_049
TW_4467a039e00b,PS_044,PS_050
TW_4467a039e00b,PS_044,PS_051
TW_4467a039e00b,PS_045,PS_042
TW_4467a039e00b,PS_045,PS_043
TW_4467a039e00b,PS_045,PS_044
TW_4467a039e00b,PS_045,PS_046
TW_4467a039e00b,PS_045,PS_047
TW_4467a039e00b,PS_045,PS_048
TW_4467a039e00b,PS_045,PS_049
TW_4467a039e00b,PS_045,PS_050
TW_4467a039e00b,PS_045,PS_051
TW_4467a039e00b,PS_046,PS_042
TW_4467a039e00b,PS_046,PS_043
TW_4467a039e00b,PS_046,PS_044
TW_4467a039e00b,PS_046,PS_045
TW_4467a039e00b,PS_046,PS_047
TW_4467a039e00b,PS_046,PS_048
TW_4467a039e00b,PS_046,PS_049
TW_4467a039e00b,PS_046,PS_050
TW_4467a039e00b,PS_046,PS_051
TW_4467a039e00b,PS_047,PS_042
TW_4467a039e00b,PS_047,PS_043
TW_4467a039e00b,PS_047,PS_044
TW_4467a039e00b,PS_047,PS_045
TW_4467a039e00b,PS_047,PS_046
TW_4467a039e00b,PS_047,PS_048
TW_4467a039e00b,PS_047,PS_049
TW_4467a039e00b,PS_047,PS_050
TW_4467a039e00b,PS_047,PS_051
TW_4467a039e00b,PS_048,PS_042
TW_4467a039e00b,PS_048,PS_043
TW_4467a039e00b,PS_048,PS_044
TW_4467a039e00b,PS_048,PS_045
TW_4467a039e00b,PS_048,PS_046
TW_4467a039e00b,PS_048,PS_047
TW_4467a039e00b,PS_048,PS_049
TW_4467a039e00b,PS_048,PS_050
TW_4467a039e00b,PS_048,PS_051
TW_4467a039e00b,PS_049,PS_042
TW_4467a039e00b,PS_049,PS_043
TW_4467a039e00b,PS_049,PS_044
TW_4467a039e00b,PS_049,PS_045
TW_4467a039e00b,PS_049,PS_046
TW_4467a039e00b,PS_049,PS_047
TW_4467a039e00b,PS_049,PS_048
TW_4467a039e00b,PS_049,PS_050
TW_4467a039e00b,PS_049,PS_051
TW_4467a039e00b,PS_050,PS_042
TW_4467a039e00b,PS_050,PS_043
TW_4467a039e00b,PS_050,PS_044
TW_4467a039e00b,PS_050,PS_045
TW_4467a039e00b,PS_050,PS_046
TW_4467a039e00b,PS_050,PS_047
TW_4467a039e00b,PS_050,PS_048
TW_4467a039e00b,PS_050,PS_049
TW_4467a039e00b,PS_050,PS_051
TW_4467a039e00b,PS_051,PS_042
TW_4467a039e00b,PS_051,PS_043
TW_4467a039e00b,PS_051,PS_044
TW_4467a039e00b,PS_051,PS_045
TW_4467a039e00b,PS_051,PS_046
TW_4467a039e00b,PS_051,PS_047
TW_4467a039e00b,PS_051,PS_048
TW_4467a039e00b,PS_051,PS_049
TW_4467a039e00b,PS_051,PS_050
TW_7b33a493697b,PS_004,PS_017
TW_7b33a493697b,PS_004,PS_020
TW_7b33a493697b,PS_004,PS_022
TW_7b33a493697b,PS_004,PS_023
TW_7b33a493697b,PS_004,PS_024
TW_7b33a493697b,PS_004,PS_026
TW_7b33a493697b,PS_004,PS_030
TW_7b33a493697b,PS_017,PS_004
TW_7b33a493697b,PS_017,PS_020
TW_7b33a493697b,PS_017,PS_022
TW_7b33a493697b,PS_017,PS_023
TW_7b33a493697b,PS_017,PS_024
TW_7b33a493697b,PS_017,PS_026
TW_7b33a493697b,PS_017,PS_030
TW_7b33a493697b,PS_020,PS_004
TW_7b33a493697b,PS_020,PS_017
TW_7b33a493697b,PS_020,PS_022
TW_7b33a493697b,PS_020,PS_023
TW_7b33a493697b,PS_020,PS_024
TW_7b33a493697b,PS_020,PS_026
TW_7b33a493697b,PS_020,PS_030
TW_7b33a493697b,PS_022,PS_004
TW_7b33a493697b,PS_022,PS_017
TW_7b33a493697b,PS_022,PS_020
TW_7b33a493697b,PS_022,PS_023
TW_7b33a493697b,PS_022,PS_024
TW_7b33a493697b,PS_022,PS_026
TW_7b33a493697b,PS_022,PS_030
TW_7b33a493697b,PS_023,PS_004
TW_7b33a493697b,PS_023,PS_017
TW_7b33a493697b,PS_023,PS_020
TW_7b33a493697b,PS_023,PS_022
TW_7b33a493697b,PS_023,PS_024
TW_7b33a493697b,PS_023,PS_026
TW_7b33a493697b,PS_023,PS_030
TW_7b33a493697b,PS_024,PS_004
TW_7b33a493697b,PS_024,PS_017
TW_7b33a493697b,PS_024,PS_020
TW_7b33a493697b,PS_024,PS_022
TW_7b33a493697b,PS_024,PS_023
TW_7b33a493697b,PS_024,PS_026
TW_7b33a493697b,PS_024,PS_030
TW_7b33a493697b,PS_026,PS_004
TW_7b33a493697b,PS_026,PS_017
TW_7b33a493697b,PS_026,PS_020
TW_7b33a493697b,PS_026,PS_022
TW_7b33a493697b,PS_026,PS_023
TW_7b33a493697b,PS_026,PS_024
TW_7b33a493697b,PS_026,PS_030
TW_7b33a493697b,PS_030,PS_004
TW_7b33a493697b,PS_030,PS_017
TW_7b33a493697b,PS_030,PS_020
TW_7b33a493697b,PS_030,PS_022
TW_7b33a493697b,PS_030,PS_023
TW_7b33a493697b,PS_030,PS_024
TW_7b33a493697b,PS_030,PS_026
TW_88a108921af7,PS_035,PS_039
TW_88a108921af7,PS_039,PS_035
TW_f8e8375afe38,PS_018,PS_019
TW_f8e8375afe38,PS_018,PS_021
TW_f8e8375afe38,PS_018,PS_025
TW_f8e8375afe38,PS_018,PS_027
TW_f8e8375afe38,PS_018,PS_029
TW_f8e8375afe38,PS_018,PS_031
TW_f8e8375afe38,PS_018,PS_032
TW_f8e8375afe38,PS_019,PS_018
TW_f8e8375afe38,PS_019,PS_021
TW_f8e8375afe38,PS_019,PS_025
TW_f8e8375afe38,PS_019,PS_027
TW_f8e8375afe38,PS_019,PS_029
TW_f8e8375afe38,PS_019,PS_031
TW_f8e8375afe38,PS_019,PS_032
TW_f8e8375afe38,PS_021,PS_018
TW_f8e8375afe38,PS_021,PS_019
TW_f8e8375afe38,PS_021,PS_025
TW_f8e8375afe38,PS_021,PS_027
TW_f8e8375afe38,PS_021,PS_029
TW_f8e8375afe38,PS_021,PS_031
TW_f8e8375afe38,PS_021,PS_032
TW_f8e8375afe38,PS_025,PS_018
TW_f8e8375afe38,PS_025,PS_019
TW_f8e8375afe38,PS_025,PS_021
TW_f8e8375afe38,PS_025,PS_027
TW_f8e8375afe38,PS_025,PS_029
TW_f8e8375afe38,PS_025,PS_031
TW_f8e8375afe38,PS_025,PS_032
TW_f8e8375afe38,PS_027,PS_018
TW_f8e8375afe38,PS_027,PS_019
TW_f8e8375afe38,PS_027,PS_021
TW_f8e8375afe38,PS_027,PS_025
TW_f8e8375afe38,PS_027,PS_029
TW_f8e8375afe38,PS_027,PS_031
TW_f8e8375afe38,PS_027,PS_032
TW_f8e8375afe38,PS_029,PS_018
TW_f8e8375afe38,PS_029,PS_019
TW_f8e8375afe38,PS_029,PS_021
TW_f8e8375afe38,PS_029,PS_025
TW_f8e8375afe38,PS_029,PS_027
TW_f8e8375afe38,PS_029,PS_031
TW_f8e8375afe38,PS_029,PS_032
TW_f8e8375afe38,PS_031,PS_018
TW_f8e8375afe38,PS_031,PS_019
TW_f8e8375afe38,PS_031,PS_021
TW_f8e8375afe38,PS_031,PS_025
TW_f8e8375afe38,PS_031,PS_027
TW_f8e8375afe38,PS_031,PS_029
TW_f8e8375afe38,PS_031,PS_032
TW_f8e8375afe38,PS_032,PS_018
TW_f8e8375afe38,PS_032,PS_019
TW_f8e8375afe38,PS_032,PS_021
TW_f8e8375afe38,PS_032,PS_025
TW_f8e8375afe38,PS_032,PS_027
TW_f8e8375afe38,PS_032,PS_029
TW_f8e8375afe38,PS_032,PS_031
