plant_id,exact_twin_group_id,is_exact_twin_member,brazil_federative_unit,first_observed_timestamp,last_observed_timestamp,n_calendar_days_with_any_row,n_rows_union,n_rows_both_sources,n_rows_inverter_only,n_rows_meteorological_only,observed_reference_inverter_count,n_unique_inverter_ids_over_period,n_rows_dc_target_constructible,n_rows_ac_target_constructible,n_rows_target_plus_any_meteorology,n_rows_core_candidate_complete_case,n_rows_daylight_gt_20,n_rows_daylight_gt_50,n_rows_daylight_gt_100,n_days_daylight_gt_20,n_days_daylight_gt_50,n_days_daylight_gt_100,missing_pct_y_dc_normalized,missing_pct_poa_irradiance_wm2,missing_pct_ghi_irradiance_wm2,missing_pct_gri_irradiance_wm2,missing_pct_panel_temperature_celsius,missing_pct_ambient_temperature_celsius,missing_pct_wind_speed_ms,missing_pct_wind_direction_degrees,missing_pct_precipitation_accumulated_mm,interpolated_pct_dc_among_flag_interpretable_rows,interpolated_pct_poa_irradiance_wm2,interpolated_pct_ghi_irradiance_wm2,interpolated_pct_gri_irradiance_wm2,interpolated_pct_panel_temperature_celsius,interpolated_pct_ambient_temperature_celsius,interpolated_pct_wind_speed_ms,interpolated_pct_wind_direction_degrees,interpolated_pct_precipitation_accumulated_mm,coverage_dc_min,coverage_dc_median,coverage_dc_max,coverage_ac_min,coverage_ac_median,coverage_ac_max
PS_001,,false,SP,2024-03-26T00:00:00Z,2025-06-09T23:45:00Z,441,42336,42336,0,0,40,41,39206,39206,39206,40994,18937,17748,16615,436,436,433,0.073932350718065,0.031226379440665156,0.03110827664399093,0.031273620559334844,0.03155706727135298,0.031462585034013606,0.03167517006802721,0.03160430839002268,0.0016770597127739985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.975,1.0,0.0,0.975,1.0
PS_002,TW_04b9f5d95694,true,RJ,2024-03-26T00:00:00Z,2025-06-09T23:45:00Z,441,42336,42336,0,0,4,4,41350,41350,41181,41509,18983,17756,16228,440,440,438,0.02328987150415722,0.019534202569916857,0.019534202569916857,0.019534202569916857,0.019534202569916857,0.019534202569916857,0.019534202569916857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_003,TW_04b9f5d95694,true,RJ,2024-03-26T00:00:00Z,2025-06-09T23:45:00Z,441,42336,42336,0,0,4,4,40870,40870,40661,41406,18920,17684,16172,438,438,438,0.03462773998488284,0.021967120181405897,0.021967120181405897,0.021967120181405897,0.021967120181405897,0.021967120181405897,0.021967120181405897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_004,TW_7b33a493697b,true,SP,2024-03-26T00:00:00Z,2025-06-09T23:45:00Z,441,42336,42336,0,0,11,11,37340,37340,37340,0,16854,15897,14618,387,387,387,0.11800831443688586,0.15464380196523053,0.15464380196523053,1.0,0.15464380196523053,0.15464380196523053,0.15464380196523053,0.15464380196523053,0.017124905517762662,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,0.9090909090909091,1.0,0.0,0.9090909090909091,1.0
PS_005,,false,GO,2024-04-11T00:00:00Z,2025-06-09T23:45:00Z,425,40800,40800,0,0,17,20,37381,37381,37381,38477,17621,16113,13795,414,414,392,0.08379901960784314,0.05693627450980392,0.05693627450980392,0.05693627450980392,0.05693627450980392,0.05693627450980392,0.05693627450980392,0.05693627450980392,0.0011519607843137256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.9411764705882353,1.0,0.0,0.9411764705882353,1.0
PS_006,,false,MG,2024-05-09T00:00:00Z,2025-06-09T23:45:00Z,397,38112,35520,2592,0,16,16,36991,36991,34755,33722,15912,15061,14050,360,360,359,0.029413308144416457,0.11518681780016793,0.11518681780016793,0.11518681780016793,0.11518681780016793,0.11518681780016793,0.11518681780016793,0.11518681780016793,0.07018786733837111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_007,,false,RJ,2024-05-09T00:00:00Z,2025-06-09T23:45:00Z,397,38112,38112,0,0,4,4,34753,34753,34753,34567,15556,14106,12525,385,385,380,0.08813497061293031,0.09301532325776658,0.09301532325776658,0.09301532325776658,0.09301532325776658,0.09301532325776658,0.09301532325776658,0.09301532325776658,0.0020465994962216624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_008,,false,SP,2024-05-10T00:00:00Z,2025-06-09T23:45:00Z,396,38016,37632,384,0,16,16,36103,36103,35720,30686,14632,13907,13050,340,339,339,0.05032091750841751,0.1928135521885522,0.1928135521885522,0.1928135521885522,0.1928135521885522,0.1928135521885522,0.1928135521885522,0.1928135521885522,0.012047558922558923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_009,,false,SP,2024-06-10T00:00:00Z,2025-06-09T23:45:00Z,365,35040,35040,0,0,4,4,33972,33972,33972,34639,16184,15353,14366,364,364,363,0.03047945205479452,0.01144406392694064,0.01144406392694064,0.01144406392694064,0.01144406392694064,0.01144406392694064,0.01144406392694064,0.01144406392694064,0.0015410958904109589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_010,,false,SP,2024-06-12T00:00:00Z,2025-06-09T23:45:00Z,363,34848,34848,0,0,8,8,34303,34303,34303,26217,12111,10667,9309,282,281,260,0.015639348025711663,0.24767561983471073,0.24767561983471073,0.24767561983471073,0.24767561983471073,0.24767561983471073,0.24767561983471073,0.24767561983471073,0.0022095959595959595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
