plant_id,step,n_rows
PS_001,both_inverter_and_meteorological,42336
PS_001,core_candidate_complete_case,40994
PS_001,daylight_poa_gt_100,16615
PS_001,daylight_poa_gt_20,18937
PS_001,daylight_poa_gt_50,17748
PS_001,union_observed_timestamps,42336
PS_001,valid_dc_target,39206
PS_001,valid_dc_target_plus_poa,38683
PS_002,both_inverter_and_meteorological,42336
PS_002,core_candidate_complete_case,41509
PS_002,daylight_poa_gt_100,16228
PS_002,daylight_poa_gt_20,18983
PS_002,daylight_poa_gt_50,17756
PS_002,union_observed_timestamps,42336
PS_002,valid_dc_target,41350
PS_002,valid_dc_target_plus_poa,41181
PS_003,both_inverter_and_meteorological,42336
PS_003,core_candidate_complete_case,41406
PS_003,daylight_poa_gt_100,16172
PS_003,daylight_poa_gt_20,18920
PS_003,daylight_poa_gt_50,17684
PS_003,union_observed_timestamps,42336
PS_003,valid_dc_target,40870
PS_003,valid_dc_target_plus_poa,40661
PS_004,both_inverter_and_meteorological,42336
PS_004,daylight_poa_gt_100,14618
PS_004,daylight_poa_gt_20,16854
PS_004,daylight_poa_gt_50,15897
PS_004,union_observed_timestamps,42336
PS_004,valid_dc_target,37340
PS_004,valid_dc_target_plus_poa,35388
PS_005,both_inverter_and_meteorological,40800
PS_005,core_candidate_complete_case,38477
PS_005,daylight_poa_gt_100,13795
PS_005,daylight_poa_gt_20,17621
PS_005,daylight_poa_gt_50,16113
PS_005,union_observed_timestamps,40800
PS_005,valid_dc_target,37381
PS_005,valid_dc_target_plus_poa,36310
PS_006,both_inverter_and_meteorological,35520
PS_006,core_candidate_complete_case,33722
PS_006,daylight_poa_gt_100,14050
PS_006,daylight_poa_gt_20,15912
PS_006,daylight_poa_gt_50,15061
PS_006,union_observed_timestamps,38112
PS_006,valid_dc_target,36991
PS_006,valid_dc_target_plus_poa,33336
PS_007,both_inverter_and_meteorological,38112
PS_007,core_candidate_complete_case,34567
PS_007,daylight_poa_gt_100,12525
PS_007,daylight_poa_gt_20,15556
PS_007,daylight_poa_gt_50,14106
PS_007,union_observed_timestamps,38112
PS_007,valid_dc_target,34753
PS_007,valid_dc_target_plus_poa,33787
PS_008,both_inverter_and_meteorological,37632
PS_008,core_candidate_complete_case,30686
PS_008,daylight_poa_gt_100,13050
PS_008,daylight_poa_gt_20,14632
PS_008,daylight_poa_gt_50,13907
PS_008,union_observed_timestamps,38016
PS_008,valid_dc_target,36103
PS_008,valid_dc_target_plus_poa,30419
PS_009,both_inverter_and_meteorological,35040
PS_009,core_candidate_complete_case,34639
PS_009,daylight_poa_gt_100,14366
PS_009,daylight_poa_gt_20,16184
PS_009,daylight_poa_gt_50,15353
PS_009,union_observed_timestamps,35040
PS_009,valid_dc_target,33972
PS_009,valid_dc_target_plus_poa,33894
PS_010,both_inverter_and_meteorological,34848
PS_010,core_candidate_complete_case,26217
PS_010,daylight_poa_gt_100,9309
PS_010,daylight_poa_gt_20,12111
PS_010,daylight_poa_gt_50,10667
PS_010,union_observed_timestamps,34848
PS_010,valid_dc_target,34303
PS_010,valid_dc_target_plus_poa,26021
PS_011,both_inverter_and_meteorological,34080
PS_011,core_candidate_complete_case,30986
PS_011,daylight_poa_gt_100,12746
PS_011,daylight_poa_gt_20,15248
PS_011,daylight_poa_gt_50,14180
PS_011,union_observed_timestamps,34080
PS_011,valid_dc_target,31765
PS_011,valid_dc_target_plus_poa,30506
PS_012,both_inverter_and_meteorological,32736
PS_012,core_candidate_complete_case,23227
PS_012,daylight_poa_gt_100,9278
PS_012,daylight_poa_gt_20,11437
PS_012,daylight_poa_gt_50,10582
PS_012,union_observed_timestamps,33984
PS_012,valid_dc_target,26927
PS_012,valid_dc_target_plus_poa,21985
PS_013,both_inverter_and_meteorological,31968
PS_013,core_candidate_complete_case,27986
PS_013,daylight_poa_gt_100,11700
PS_013,daylight_poa_gt_20,13390
PS_013,daylight_poa_gt_50,12602
PS_013,union_observed_timestamps,31968
PS_013,valid_dc_target,30295
PS_013,valid_dc_target_plus_poa,27662
PS_014,both_inverter_and_meteorological,11520
PS_014,daylight_poa_gt_100,4424
PS_014,daylight_poa_gt_20,4999
PS_014,daylight_poa_gt_50,4735
PS_014,union_observed_timestamps,11712
PS_014,valid_dc_target,9503
PS_014,valid_dc_target_plus_poa,9502
PS_015,both_inverter_and_meteorological,28128
PS_015,daylight_poa_gt_100,8574
PS_015,daylight_poa_gt_20,9893
PS_015,daylight_poa_gt_50,9318
PS_015,union_observed_timestamps,28896
PS_015,valid_dc_target,27450
PS_015,valid_dc_target_plus_poa,27443
PS_016,both_inverter_and_meteorological,21216
PS_016,daylight_poa_gt_100,2305
PS_016,daylight_poa_gt_20,2539
PS_016,daylight_poa_gt_50,2435
PS_016,union_observed_timestamps,26976
PS_016,valid_dc_target,22240
PS_016,valid_dc_target_plus_poa,14308
PS_017,both_inverter_and_meteorological,24960
PS_017,daylight_poa_gt_100,10232
PS_017,daylight_poa_gt_20,12088
PS_017,daylight_poa_gt_50,11244
