target_plant_id,group_id,n_sources,delta_j
PS_002,TW_04b9f5d95694,1,0.026171642798493336
PS_003,TW_04b9f5d95694,1,0.03323180533205084
PS_035,TW_88a108921af7,1,-0.021236868572330925
PS_039,TW_88a108921af7,1,-8.831502597680951e-05
PS_042,TW_4467a039e00b,8,0.03896029817102969
PS_043,TW_4467a039e00b,8,0.03433554892043977
PS_044,TW_4467a039e00b,8,0.015169632590129342
PS_048,TW_4467a039e00b,9,0.06788980253415011
PS_049,TW_4467a039e00b,8,0.03993763644312534
PS_050,TW_4467a039e00b,8,0.0276260127819953
