row,k,valid_targets,valid_decision_instances,median_candidate_count,median_relative_regret,p75_relative_regret,p90_relative_regret,median_absolute_regret,top1_oracle_recovery,rank_spearman,relative_regret_ci95_low,relative_regret_ci95_high
random_baseline,0,2,4,3.25,0.39577172180159664,0.41156709652753787,0.42104432136310266,0.021300865130592754,,,,
metadata_k0,0,2,4,3.25,0.1343549071949365,0.18150753228377692,0.20979910733708115,0.007684675434320325,0.25,,0.029411045807679885,0.23929876858219312
k_1,1,2,4,3.25,0.4801992371506275,0.6017498986580124,0.6746802955624434,0.024656140963797417,0.25,-0.75,0.3857323212205814,0.5746661530806737
k_2,2,2,4,3.25,0.28906982571921097,0.4336047385788165,0.5203256862945798,0.011055465029413567,0.5,0.024999999999999994,0.040049657017255685,0.5380899944211662
k_3,3,2,4,3.25,0.020024828508627843,0.030037242762941764,0.03604469131553012,0.0012609136936054845,0.75,0.725,0.0,0.040049657017255685
k_5,5,2,4,3.25,0.12073713281665571,0.16108087071635574,0.18528711345617574,0.007213615073970848,0.5,0.625,0.0,0.24147426563331142
k_7,7,2,4,3.25,0.12073713281665571,0.16108087071635574,0.18528711345617574,0.007213615073970848,0.5,0.625,0.0,0.24147426563331142
k_10,10,2,4,3.25,0.12073713281665571,0.16108087071635574,0.18528711345617574,0.007213615073970848,0.5,0.625,0.0,0.24147426563331142
k_14,14,2,4,3.25,0.020024828508627843,0.030037242762941764,0.03604469131553012,0.0012609136936054845,0.75,0.825,0.0,0.040049657017255685
k_21,21,2,4,3.25,0.020024828508627843,0.030037242762941764,0.03604469131553012,0.0012609136936054845,0.75,0.825,0.0,0.040049657017255685
k_30,30,2,4,3.25,0.03473035141246779,0.052095527118701676,0.06251463254244202,0.001796266517463516,0.5,0.7249999999999999,0.029411045807679885,0.040049657017255685
k_45,45,2,4,3.25,0.020024828508627843,0.030037242762941764,0.03604469131553012,0.0012609136936054845,0.75,0.825,0.0,0.040049657017255685
temporal_noise_reference,,,,,0.021637069816779646,,,0.0007033511523146675,,,,
oracle,,,,,0.0,,,0.0,,,,
