plant_id,model_family,n_train,n_validation,n_test,test_mae,test_rmse,test_r2,test_bias,selected_candidate_id
PS_002,HistGradientBoosting,10578,3526,3527,0.06910877767892137,0.15273327884304483,0.7459398431204318,0.027062139333504695,HistGradientBoosting_06
PS_002,SplineRidge,10578,3526,3527,0.06991063766656168,0.145729012776011,0.7687076561221492,0.011342910780330888,SplineRidge_00
PS_003,HistGradientBoosting,10119,3373,3374,0.057856888511821906,0.1249186972753304,0.8213786003840438,0.013639705586116026,HistGradientBoosting_00
PS_003,SplineRidge,10119,3373,3374,0.05908638241044946,0.12041860153061067,0.834016180689473,0.0024891568505077885,SplineRidge_00
PS_035,HistGradientBoosting,4883,1628,1628,0.06089258252716348,0.08479254269745601,0.911967555688779,0.041637879934727715,HistGradientBoosting_01
PS_035,SplineRidge,4883,1628,1628,0.06276335274274299,0.08350195894209342,0.9146269550786564,0.03608209989580896,SplineRidge_00
PS_039,HistGradientBoosting,3952,1318,1318,0.08060655737012314,0.11288949576374097,0.8588246964200614,-0.01901976421503032,HistGradientBoosting_00
PS_039,SplineRidge,3952,1318,1318,0.09620335620120826,0.12644980280961515,0.8228716909210931,-0.036681182602285395,SplineRidge_02
PS_042,HistGradientBoosting,2455,818,819,0.061414003632669786,0.08311470956072557,0.9209211353894118,-0.04400805873584728,HistGradientBoosting_01
PS_042,SplineRidge,2455,818,819,0.07604997020668001,0.09960923305574317,0.8864194847458854,-0.03426080070883835,SplineRidge_03
PS_043,HistGradientBoosting,2370,790,791,0.0861135698262856,0.12007473136336126,0.8449235273135932,-0.0342342362811376,HistGradientBoosting_07
PS_043,SplineRidge,2370,790,791,0.08212478230570254,0.11265950840881285,0.8634856296009404,-0.028126409080466177,SplineRidge_08
PS_044,HistGradientBoosting,2503,834,835,0.07358610638037376,0.11355818326925467,0.8559075187942694,-0.025069329790468966,HistGradientBoosting_05
PS_044,SplineRidge,2503,834,835,0.07462560468537242,0.10827152242080755,0.8690115705937045,-0.03210004818120158,SplineRidge_07
PS_045,HistGradientBoosting,2196,732,732,0.0409680402019974,0.07530068799694825,0.9361909097139537,0.013918607344396811,HistGradientBoosting_00
PS_045,SplineRidge,2196,732,732,0.05226783815718606,0.08452422260387653,0.9196016687163151,0.00931136858337458,SplineRidge_08
PS_046,HistGradientBoosting,1710,570,570,0.06684068711754144,0.10640397948376525,0.8650670484835802,0.028550271675912366,HistGradientBoosting_05
PS_046,SplineRidge,1710,570,570,0.06659106848798989,0.09912804718715498,0.8828896227287435,0.015925710441213367,SplineRidge_06
PS_047,HistGradientBoosting,1725,575,576,0.12144111940517778,0.16530492114475914,0.7146590215442203,-0.09576083830713829,HistGradientBoosting_05
PS_047,SplineRidge,1725,575,576,0.12650180640543532,0.16698663553511275,0.7088237089308058,-0.10244918496339064,SplineRidge_02
PS_048,HistGradientBoosting,2215,738,739,0.05659960411831721,0.09634296642274918,0.8783557132577922,-0.001977452109100279,HistGradientBoosting_00
PS_048,SplineRidge,2215,738,739,0.04801772801096698,0.09077909359081943,0.8920000953576523,0.0010466272093269777,SplineRidge_03
PS_049,HistGradientBoosting,2129,710,710,0.05487465044663371,0.1064771385462882,0.8665472289628117,0.00574564916251668,HistGradientBoosting_01
PS_049,SplineRidge,2129,710,710,0.05686367824368908,0.10385558475600186,0.8730377635899453,0.005667906500467808,SplineRidge_03
PS_050,HistGradientBoosting,2521,841,841,0.05948890448928379,0.10638549012469398,0.8677904783819946,0.01741537076700258,HistGradientBoosting_00
PS_050,SplineRidge,2521,841,841,0.05804656616736247,0.10198541781327164,0.8785006106472226,0.003075554533212182,SplineRidge_02
PS_051,HistGradientBoosting,2239,747,747,0.06520228076322807,0.14930874834464444,0.7768684237658147,0.027792505405982115,HistGradientBoosting_05
PS_051,SplineRidge,2239,747,747,0.06653592846084067,0.14610659047846197,0.7863365993675973,0.02301755202862894,SplineRidge_03
