source_plant_id,rule_id,k,q,n_source_train,threshold,computable,reason
PS_002,CS3,5,0.9,10578,0.35174066171916685,True,
PS_002,CS4,5,0.95,10578,0.4062346076280548,True,
PS_003,CS3,5,0.9,10119,0.3585358677794322,True,
PS_003,CS4,5,0.95,10119,0.41497290002681125,True,
PS_035,CS3,5,0.9,4883,0.472660805091244,True,
PS_035,CS4,5,0.95,4883,0.5378490576046681,True,
PS_039,CS3,5,0.9,3952,0.4439441520023718,True,
PS_039,CS4,5,0.95,3952,0.49852846726282063,True,
PS_042,CS3,5,0.9,2455,0.47085090033623783,True,
PS_042,CS4,5,0.95,2455,0.5311994797362574,True,
PS_043,CS3,5,0.9,2370,0.4525299350773017,True,
PS_043,CS4,5,0.95,2370,0.5142527041119462,True,
PS_044,CS3,5,0.9,2503,0.48398792532871815,True,
PS_044,CS4,5,0.95,2503,0.5641376971789263,True,
PS_045,CS3,5,0.9,2196,0.610763330999349,True,
PS_045,CS4,5,0.95,2196,0.694784995602642,True,
PS_046,CS3,5,0.9,1710,0.5523083941386899,True,
PS_046,CS4,5,0.95,1710,0.6448333873596003,True,
PS_047,CS3,5,0.9,1725,0.5347011349188023,True,
PS_047,CS4,5,0.95,1725,0.5976234183922884,True,
PS_048,CS3,5,0.9,2215,,False,degenerate_iqr:wind_speed_ms
PS_048,CS4,5,0.95,2215,,False,degenerate_iqr:wind_speed_ms
PS_049,CS3,5,0.9,2129,0.571663022481899,True,
PS_049,CS4,5,0.95,2129,0.6553870982781045,True,
PS_050,CS3,5,0.9,2521,0.5136987193950014,True,
PS_050,CS4,5,0.95,2521,0.5784805275263192,True,
PS_051,CS3,5,0.9,2239,0.44593846995910896,True,
PS_051,CS4,5,0.95,2239,0.5040168921534446,True,
