group_id,source_plant_id,target_plant_id,rule_id,k,q,computable,reason,n_source_train,n_source_train_days,n_eligible_target_test,n_target_test_days,n_supported,n_supported_days,support_retention,threshold
TW_04b9f5d95694,PS_002,PS_003,CS3,5,0.9,True,,10578,266,3374,88,2974,88,0.8814463544754001,0.35174066171916685
TW_04b9f5d95694,PS_002,PS_003,CS4,5,0.95,True,,10578,266,3374,88,3199,88,0.9481327800829875,0.4062346076280548
TW_04b9f5d95694,PS_003,PS_002,CS3,5,0.9,True,,10119,260,3527,92,3091,92,0.8763821944995747,0.3585358677794322
TW_04b9f5d95694,PS_003,PS_002,CS4,5,0.95,True,,10119,260,3527,92,3337,92,0.9461298554011908,0.41497290002681125
TW_4467a039e00b,PS_042,PS_043,CS3,5,0.9,True,,2455,59,791,20,515,20,0.6510745891276865,0.47085090033623783
TW_4467a039e00b,PS_042,PS_043,CS4,5,0.95,True,,2455,59,791,20,614,20,0.7762326169405815,0.5311994797362574
TW_4467a039e00b,PS_042,PS_044,CS3,5,0.9,True,,2455,59,835,21,283,20,0.3389221556886228,0.47085090033623783
TW_4467a039e00b,PS_042,PS_044,CS4,5,0.95,True,,2455,59,835,21,405,21,0.48502994011976047,0.5311994797362574
TW_4467a039e00b,PS_042,PS_045,CS3,5,0.9,True,,2455,59,732,20,151,18,0.2062841530054645,0.47085090033623783
TW_4467a039e00b,PS_042,PS_045,CS4,5,0.95,True,,2455,59,732,20,195,19,0.26639344262295084,0.5311994797362574
TW_4467a039e00b,PS_042,PS_046,CS3,5,0.9,True,,2455,59,570,16,212,16,0.3719298245614035,0.47085090033623783
TW_4467a039e00b,PS_042,PS_046,CS4,5,0.95,True,,2455,59,570,16,300,16,0.5263157894736842,0.5311994797362574
TW_4467a039e00b,PS_042,PS_047,CS3,5,0.9,True,,2455,59,576,17,113,16,0.19618055555555555,0.47085090033623783
TW_4467a039e00b,PS_042,PS_047,CS4,5,0.95,True,,2455,59,576,17,171,16,0.296875,0.5311994797362574
TW_4467a039e00b,PS_042,PS_048,CS3,5,0.9,True,,2455,59,739,18,142,18,0.19215155615696888,0.47085090033623783
TW_4467a039e00b,PS_042,PS_048,CS4,5,0.95,True,,2455,59,739,18,167,18,0.2259810554803789,0.5311994797362574
TW_4467a039e00b,PS_042,PS_049,CS3,5,0.9,True,,2455,59,710,18,95,17,0.13380281690140844,0.47085090033623783
TW_4467a039e00b,PS_042,PS_049,CS4,5,0.95,True,,2455,59,710,18,145,18,0.20422535211267606,0.5311994797362574
TW_4467a039e00b,PS_042,PS_050,CS3,5,0.9,True,,2455,59,841,21,80,19,0.09512485136741974,0.47085090033623783
TW_4467a039e00b,PS_042,PS_050,CS4,5,0.95,True,,2455,59,841,21,124,21,0.14744351961950058,0.5311994797362574
TW_4467a039e00b,PS_042,PS_051,CS3,5,0.9,True,,2455,59,747,19,440,18,0.5890227576974565,0.47085090033623783
TW_4467a039e00b,PS_042,PS_051,CS4,5,0.95,True,,2455,59,747,19,535,18,0.7161981258366801,0.5311994797362574
TW_4467a039e00b,PS_043,PS_042,CS3,5,0.9,True,,2370,60,819,21,129,20,0.1575091575091575,0.4525299350773017
TW_4467a039e00b,PS_043,PS_042,CS4,5,0.95,True,,2370,60,819,21,211,20,0.2576312576312576,0.5142527041119462
TW_4467a039e00b,PS_043,PS_044,CS3,5,0.9,True,,2370,60,835,21,120,20,0.1437125748502994,0.4525299350773017
TW_4467a039e00b,PS_043,PS_044,CS4,5,0.95,True,,2370,60,835,21,220,20,0.2634730538922156,0.5142527041119462
TW_4467a039e00b,PS_043,PS_045,CS3,5,0.9,True,,2370,60,732,20,112,16,0.15300546448087432,0.4525299350773017
TW_4467a039e00b,PS_043,PS_045,CS4,5,0.95,True,,2370,60,732,20,148,18,0.20218579234972678,0.5142527041119462
TW_4467a039e00b,PS_043,PS_046,CS3,5,0.9,True,,2370,60,570,16,92,16,0.16140350877192983,0.4525299350773017
TW_4467a039e00b,PS_043,PS_046,CS4,5,0.95,True,,2370,60,570,16,149,16,0.2614035087719298,0.5142527041119462
TW_4467a039e00b,PS_043,PS_047,CS3,5,0.9,True,,2370,60,576,17,58,15,0.10069444444444445,0.4525299350773017
TW_4467a039e00b,PS_043,PS_047,CS4,5,0.95,True,,2370,60,576,17,97,16,0.1684027777777778,0.5142527041119462
TW_4467a039e00b,PS_043,PS_048,CS3,5,0.9,True,,2370,60,739,18,131,18,0.17726657645466848,0.4525299350773017
TW_4467a039e00b,PS_043,PS_048,CS4,5,0.95,True,,2370,60,739,18,154,18,0.2083897158322057,0.5142527041119462
TW_4467a039e00b,PS_043,PS_049,CS3,5,0.9,True,,2370,60,710,18,73,17,0.1028169014084507,0.4525299350773017
TW_4467a039e00b,PS_043,PS_049,CS4,5,0.95,True,,2370,60,710,18,105,17,0.14788732394366197,0.5142527041119462
TW_4467a039e00b,PS_043,PS_050,CS3,5,0.9,True,,2370,60,841,21,47,19,0.0558858501783591,0.4525299350773017
TW_4467a039e00b,PS_043,PS_050,CS4,5,0.95,True,,2370,60,841,21,69,20,0.08204518430439953,0.5142527041119462
TW_4467a039e00b,PS_043,PS_051,CS3,5,0.9,True,,2370,60,747,19,301,18,0.4029451137884873,0.4525299350773017
TW_4467a039e00b,PS_043,PS_051,CS4,5,0.95,True,,2370,60,747,19,411,18,0.5502008032128514,0.5142527041119462
TW_4467a039e00b,PS_044,PS_042,CS3,5,0.9,True,,2503,60,819,21,466,20,0.568986568986569,0.48398792532871815
TW_4467a039e00b,PS_044,PS_042,CS4,5,0.95,True,,2503,60,819,21,578,20,0.7057387057387058,0.5641376971789263
TW_4467a039e00b,PS_044,PS_043,CS3,5,0.9,True,,2503,60,791,20,230,20,0.29077117572692796,0.48398792532871815
TW_4467a039e00b,PS_044,PS_043,CS4,5,0.95,True,,2503,60,791,20,389,20,0.4917825537294564,0.5641376971789263
TW_4467a039e00b,PS_044,PS_045,CS3,5,0.9,True,,2503,60,732,20,290,19,0.39617486338797814,0.48398792532871815
TW_4467a039e00b,PS_044,PS_045,CS4,5,0.95,True,,2503,60,732,20,429,19,0.5860655737704918,0.5641376971789263
TW_4467a039e00b,PS_044,PS_046,CS3,5,0.9,True,,2503,60,570,16,365,16,0.6403508771929824,0.48398792532871815
TW_4467a039e00b,PS_044,PS_046,CS4,5,0.95,True,,2503,60,570,16,458,16,0.8035087719298246,0.5641376971789263
TW_4467a039e00b,PS_044,PS_047,CS3,5,0.9,True,,2503,60,576,17,195,16,0.3385416666666667,0.48398792532871815
TW_4467a039e00b,PS_044,PS_047,CS4,5,0.95,True,,2503,60,576,17,312,16,0.5416666666666666,0.5641376971789263
TW_4467a039e00b,PS_044,PS_048,CS3,5,0.9,True,,2503,60,739,18,213,18,0.2882273342354533,0.48398792532871815
TW_4467a039e00b,PS_044,PS_048,CS4,5,0.95,True,,2503,60,739,18,305,18,0.41271989174560214,0.5641376971789263
TW_4467a039e00b,PS_044,PS_049,CS3,5,0.9,True,,2503,60,710,18,253,17,0.3563380281690141,0.48398792532871815
TW_4467a039e00b,PS_044,PS_049,CS4,5,0.95,True,,2503,60,710,18,402,17,0.5661971830985916,0.5641376971789263
TW_4467a039e00b,PS_044,PS_050,CS3,5,0.9,True,,2503,60,841,21,291,21,0.3460166468489893,0.48398792532871815
TW_4467a039e00b,PS_044,PS_050,CS4,5,0.95,True,,2503,60,841,21,424,21,0.5041617122473246,0.5641376971789263
TW_4467a039e00b,PS_044,PS_051,CS3,5,0.9,True,,2503,60,747,19,181,18,0.24230254350736277,0.48398792532871815
TW_4467a039e00b,PS_044,PS_051,CS4,5,0.95,True,,2503,60,747,19,326,18,0.4364123159303882,0.5641376971789263
TW_4467a039e00b,PS_045,PS_042,CS3,5,0.9,True,,2196,54,819,21,383,20,0.46764346764346765,0.610763330999349
TW_4467a039e00b,PS_045,PS_042,CS4,5,0.95,True,,2196,54,819,21,485,20,0.5921855921855922,0.694784995602642
TW_4467a039e00b,PS_045,PS_043,CS3,5,0.9,True,,2196,54,791,20,132,20,0.16687737041719342,0.610763330999349
TW_4467a039e00b,PS_045,PS_043,CS4,5,0.95,True,,2196,54,791,20,207,20,0.26169405815423513,0.694784995602642
TW_4467a039e00b,PS_045,PS_044,CS3,5,0.9,True,,2196,54,835,21,318,21,0.38083832335329343,0.610763330999349
TW_4467a039e00b,PS_045,PS_044,CS4,5,0.95,True,,2196,54,835,21,451,21,0.5401197604790419,0.694784995602642
TW_4467a039e00b,PS_045,PS_046,CS3,5,0.9,True,,2196,54,570,16,394,16,0.6912280701754386,0.610763330999349
TW_4467a039e00b,PS_045,PS_046,CS4,5,0.95,True,,2196,54,570,16,470,16,0.8245614035087719,0.694784995602642
TW_4467a039e00b,PS_045,PS_047,CS3,5,0.9,True,,2196,54,576,17,358,17,0.6215277777777778,0.610763330999349
TW_4467a039e00b,PS_045,PS_047,CS4,5,0.95,True,,2196,54,576,17,417,17,0.7239583333333334,0.694784995602642
TW_4467a039e00b,PS_045,PS_048,CS3,5,0.9,True,,2196,54,739,18,73,17,0.09878213802435724,0.610763330999349
TW_4467a039e00b,PS_045,PS_048,CS4,5,0.95,True,,2196,54,739,18,170,18,0.23004059539918809,0.694784995602642
TW_4467a039e00b,PS_045,PS_049,CS3,5,0.9,True,,2196,54,710,18,442,18,0.6225352112676056,0.610763330999349
TW_4467a039e00b,PS_045,PS_049,CS4,5,0.95,True,,2196,54,710,18,521,18,0.7338028169014085,0.694784995602642
TW_4467a039e00b,PS_045,PS_050,CS3,5,0.9,True,,2196,54,841,21,499,21,0.5933412604042806,0.610763330999349
TW_4467a039e00b,PS_045,PS_050,CS4,5,0.95,True,,2196,54,841,21,586,21,0.6967895362663495,0.694784995602642
TW_4467a039e00b,PS_045,PS_051,CS3,5,0.9,True,,2196,54,747,19,170,19,0.22757697456492637,0.610763330999349
