group_id,source_plant_id,target_plant_id,cs4_computable,reason,n_eligible_target_test,n_supported,support_retention,predictions_generated
TW_04b9f5d95694,PS_002,PS_003,True,,3374,3199,0.9481327800829875,True
TW_04b9f5d95694,PS_003,PS_002,True,,3527,3337,0.9461298554011908,True
TW_4467a039e00b,PS_042,PS_043,True,,791,614,0.7762326169405815,True
TW_4467a039e00b,PS_042,PS_044,True,,835,405,0.48502994011976047,True
TW_4467a039e00b,PS_042,PS_045,True,,732,195,0.26639344262295084,True
TW_4467a039e00b,PS_042,PS_046,True,,570,300,0.5263157894736842,True
TW_4467a039e00b,PS_042,PS_047,True,,576,171,0.296875,True
TW_4467a039e00b,PS_042,PS_048,True,,739,167,0.2259810554803789,True
TW_4467a039e00b,PS_042,PS_049,True,,710,145,0.20422535211267606,True
TW_4467a039e00b,PS_042,PS_050,True,,841,124,0.14744351961950058,True
TW_4467a039e00b,PS_042,PS_051,True,,747,535,0.7161981258366801,True
TW_4467a039e00b,PS_043,PS_042,True,,819,211,0.2576312576312576,True
TW_4467a039e00b,PS_043,PS_044,True,,835,220,0.2634730538922156,True
TW_4467a039e00b,PS_043,PS_045,True,,732,148,0.20218579234972678,True
TW_4467a039e00b,PS_043,PS_046,True,,570,149,0.2614035087719298,True
TW_4467a039e00b,PS_043,PS_047,True,,576,97,0.1684027777777778,True
TW_4467a039e00b,PS_043,PS_048,True,,739,154,0.2083897158322057,True
TW_4467a039e00b,PS_043,PS_049,True,,710,105,0.14788732394366197,True
TW_4467a039e00b,PS_043,PS_050,True,,841,69,0.08204518430439953,True
TW_4467a039e00b,PS_043,PS_051,True,,747,411,0.5502008032128514,True
TW_4467a039e00b,PS_044,PS_042,True,,819,578,0.7057387057387058,True
TW_4467a039e00b,PS_044,PS_043,True,,791,389,0.4917825537294564,True
TW_4467a039e00b,PS_044,PS_045,True,,732,429,0.5860655737704918,True
TW_4467a039e00b,PS_044,PS_046,True,,570,458,0.8035087719298246,True
TW_4467a039e00b,PS_044,PS_047,True,,576,312,0.5416666666666666,True
TW_4467a039e00b,PS_044,PS_048,True,,739,305,0.41271989174560214,True
TW_4467a039e00b,PS_044,PS_049,True,,710,402,0.5661971830985916,True
TW_4467a039e00b,PS_044,PS_050,True,,841,424,0.5041617122473246,True
