group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable
TW_7b33a493697b,PS_004,PS_017,True,True,-0.00646258403427194,0.00028850725379265044,-0.00675109128806459,0.00675109128806459,True
TW_7b33a493697b,PS_004,PS_020,True,True,-0.004078507526576396,-0.0011175430730279538,-0.002960964453548442,0.002960964453548442,True
TW_7b33a493697b,PS_004,PS_022,True,True,0.050554233794438005,0.017969425548888876,0.03258480824554913,0.03258480824554913,True
TW_7b33a493697b,PS_004,PS_023,True,True,0.0018310629441525908,0.002518990699054594,-0.0006879277549020034,0.0006879277549020034,True
TW_7b33a493697b,PS_004,PS_024,True,True,0.00300820409861674,0.00032733648088586337,0.002680867617730877,0.002680867617730877,True
TW_7b33a493697b,PS_004,PS_026,True,True,0.0022446365703127497,0.01019352374488509,-0.007948887174572341,0.007948887174572341,True
TW_7b33a493697b,PS_004,PS_030,True,True,-0.000585738378919419,-0.0011341711099320355,0.0005484327310126165,0.0005484327310126165,True
TW_7b33a493697b,PS_017,PS_020,True,True,0.0001284327324921515,0.0002774008476112283,-0.0001489681151190768,0.0001489681151190768,True
TW_7b33a493697b,PS_017,PS_022,True,True,0.0042619387702294426,0.04830509332804504,-0.0440431545578156,0.0440431545578156,True
TW_7b33a493697b,PS_017,PS_023,True,True,0.008997166327624838,-0.002927549695056493,0.011924716022681331,0.011924716022681331,True
TW_7b33a493697b,PS_017,PS_024,True,True,-0.0007169867615543224,-0.0005387396536181421,-0.00017824710793618026,0.00017824710793618026,True
TW_7b33a493697b,PS_017,PS_026,True,True,0.012468682306778868,0.01205513073536349,0.0004135515714153784,0.0004135515714153784,True
TW_7b33a493697b,PS_017,PS_030,True,True,-0.0008179884396453951,-0.005379018094872172,0.004561029655226777,0.004561029655226777,True
TW_7b33a493697b,PS_020,PS_022,True,True,0.0036531221304794068,0.034246153187619005,-0.0305930310571396,0.0305930310571396,True
TW_7b33a493697b,PS_020,PS_023,True,True,0.007879022495262736,0.003113571719642612,0.004765450775620125,0.004765450775620125,True
TW_7b33a493697b,PS_020,PS_024,True,True,0.0076938044095486505,0.006087078950402135,0.0016067254591465158,0.0016067254591465158,True
TW_7b33a493697b,PS_020,PS_026,True,True,0.0021718717569480864,0.005379538390243129,-0.003207666633295043,0.003207666633295043,True
TW_7b33a493697b,PS_020,PS_030,True,True,0.004467503724321177,0.0009428521824772287,0.0035246515418439484,0.0035246515418439484,True
TW_7b33a493697b,PS_022,PS_023,True,True,0.02996383136305379,0.017100814124272876,0.012863017238780916,0.012863017238780916,True
TW_7b33a493697b,PS_022,PS_024,True,True,0.037383863552328284,0.013495126206326435,0.02388873734600185,0.02388873734600185,True
TW_7b33a493697b,PS_022,PS_026,True,True,0.014865162179905883,-0.0016877209297422868,0.01655288310964817,0.01655288310964817,True
TW_7b33a493697b,PS_022,PS_030,True,True,0.04807079665236241,0.015555775803176526,0.03251502084918589,0.03251502084918589,True
TW_7b33a493697b,PS_023,PS_024,True,True,0.0014925013911807686,0.003739935681609359,-0.0022474342904285904,0.0022474342904285904,True
TW_7b33a493697b,PS_023,PS_026,True,True,0.01811324582910534,0.022438301467151388,-0.004325055638046048,0.004325055638046048,True
TW_7b33a493697b,PS_023,PS_030,True,True,0.002289519671593479,0.0013308045687075165,0.0009587151028859625,0.0009587151028859625,True
TW_7b33a493697b,PS_024,PS_026,True,True,0.024113488553550423,0.020763037124616253,0.0033504514289341703,0.0033504514289341703,True
TW_7b33a493697b,PS_024,PS_030,True,True,0.002709583512553272,0.0030346071599098787,-0.0003250236473566065,0.0003250236473566065,True
TW_7b33a493697b,PS_026,PS_030,True,True,0.01599353854461384,0.0070028530211014295,0.008990685523512412,0.008990685523512412,True
