target_id,twin_group,group_id,n_directional_transfers,rq1_j
PS_002,G1,TW_04b9f5d95694,1,0.0011998025490371905
PS_003,G1,TW_04b9f5d95694,1,0.0009569717451765741
PS_035,G4,TW_88a108921af7,1,-0.0045877041055881335
PS_039,G4,TW_88a108921af7,1,-0.013253571979140621
PS_042,G2,TW_4467a039e00b,8,0.012761083210492645
PS_043,G2,TW_4467a039e00b,8,0.002231227952051721
PS_044,G2,TW_4467a039e00b,8,0.02836758949423807
PS_045,G2,TW_4467a039e00b,8,0.01639054528517678
PS_046,G2,TW_4467a039e00b,8,0.011050316575340058
PS_047,G2,TW_4467a039e00b,8,-0.009694196502888719
PS_048,G2,TW_4467a039e00b,9,0.017297904017631687
PS_049,G2,TW_4467a039e00b,8,0.017600531462009506
PS_050,G2,TW_4467a039e00b,8,0.01956301011970564
PS_051,G2,TW_4467a039e00b,8,0.036246958185756586
