group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_source_recent_half,n_target_recent_half,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,transfer_mae,local_same_rows_mae,otg_abs
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,CS4,True,,5289,5060,3374,3148,88,0.9330171902786011,0.4531296693586053,0.0581658499687772,0.057077650732741014,0.0010881992360361886
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,CS4,True,,5060,5289,3527,3238,92,0.9180606747944429,0.46521640415269827,0.06863709699893851,0.06737194987861489,0.0012651471203236203
TW_4467a039e00b,PS_042,PS_043,SplineRidge,CS4,True,,1228,1185,791,562,20,0.7104930467762326,0.6088399645356727,0.06631493984967106,0.07761342602671288,-0.011298486177041822
TW_4467a039e00b,PS_042,PS_044,SplineRidge,CS4,True,,1228,1252,835,451,21,0.5401197604790419,0.6088399645356727,0.09790999136331933,0.07467249872723646,0.02323749263608288
TW_4467a039e00b,PS_042,PS_045,SplineRidge,CS4,True,,1228,1098,732,205,19,0.28005464480874315,0.6088399645356727,0.06343326714409615,0.0644663370414757,-0.0010330698973795432
TW_4467a039e00b,PS_042,PS_046,SplineRidge,CS4,True,,1228,855,570,330,16,0.5789473684210527,0.6088399645356727,0.07317790461464882,0.06880915487008396,0.004368749744564859
TW_4467a039e00b,PS_042,PS_047,SplineRidge,CS4,True,,1228,863,576,189,16,0.328125,0.6088399645356727,0.06563892471120707,0.07399782588696066,-0.008358901175753594
TW_4467a039e00b,PS_042,PS_048,SplineRidge,CS4,True,,1228,1108,739,179,18,0.2422192151556157,0.6088399645356727,0.03853392146297974,0.032458342988897125,0.006075578474082612
TW_4467a039e00b,PS_042,PS_049,SplineRidge,CS4,True,,1228,1065,710,172,17,0.24225352112676057,0.6088399645356727,0.08047000706062674,0.07703877824923108,0.0034312288113956535
TW_4467a039e00b,PS_042,PS_050,SplineRidge,CS4,True,,1228,1261,841,157,21,0.18668252080856124,0.6088399645356727,0.06531437114543165,0.059565404721936624,0.005748966423495025
TW_4467a039e00b,PS_042,PS_051,SplineRidge,CS4,True,,1228,1120,747,498,18,0.6666666666666666,0.6088399645356727,0.09422696843861009,0.07251956999039613,0.021707398448213955
TW_4467a039e00b,PS_043,PS_042,SplineRidge,CS4,True,,1185,1228,819,277,20,0.33821733821733824,0.6159602073994177,0.06571317556106542,0.06700778300809679,-0.0012946074470313734
TW_4467a039e00b,PS_043,PS_044,SplineRidge,CS4,True,,1185,1252,835,271,20,0.32455089820359284,0.6159602073994177,0.09792254607171351,0.0716921589674336,0.026230387104279912
TW_4467a039e00b,PS_043,PS_045,SplineRidge,CS4,True,,1185,1098,732,156,18,0.21311475409836064,0.6159602073994177,0.07814278839562196,0.061166420878153965,0.01697636751746799
TW_4467a039e00b,PS_043,PS_046,SplineRidge,CS4,True,,1185,855,570,170,16,0.2982456140350877,0.6159602073994177,0.081410007694712,0.06370818304472073,0.017701824649991274
TW_4467a039e00b,PS_043,PS_047,SplineRidge,CS4,True,,1185,863,576,94,16,0.16319444444444445,0.6159602073994177,0.09873345940895994,0.05970743809844424,0.039026021310515704
TW_4467a039e00b,PS_043,PS_048,SplineRidge,CS4,True,,1185,1108,739,174,18,0.2354533152909337,0.6159602073994177,0.0487237918006255,0.03654585060494866,0.01217794119567684
TW_4467a039e00b,PS_043,PS_049,SplineRidge,CS4,True,,1185,1065,710,106,17,0.14929577464788732,0.6159602073994177,0.07287097224049567,0.065448589927107,0.007422382313388667
TW_4467a039e00b,PS_043,PS_050,SplineRidge,CS4,True,,1185,1261,841,67,18,0.07966706302021404,0.6159602073994177,0.07671435670966847,0.059493560272682856,0.017220796436985618
TW_4467a039e00b,PS_043,PS_051,SplineRidge,CS4,True,,1185,1120,747,442,18,0.5917001338688086,0.6159602073994177,0.10858868377657657,0.08118323801230339,0.027405445764273187
TW_4467a039e00b,PS_044,PS_042,SplineRidge,CS4,True,,1252,1228,819,542,20,0.6617826617826618,0.6156978909774169,0.06452167815202053,0.08114850014397214,-0.016626821991951604
TW_4467a039e00b,PS_044,PS_043,SplineRidge,CS4,True,,1252,1185,791,284,20,0.359039190897598,0.6156978909774169,0.06359800908890774,0.06687640888807819,-0.0032783997991704533
