plant_id,group_id,n_train,n_test,n_a_chrono,n_b_chrono,n_a_interleaved,n_b_interleaved,n_blocks_a,n_blocks_b,computable_chrono,computable_interleaved,reason_chrono,reason_interleaved,mae_a_chrono,mae_b_chrono,otg_placebo_chrono,mae_a_interleaved,mae_b_interleaved,otg_placebo_interleaved,otg_chrono_minus_interleaved,n_supported_chrono,n_supported_interleaved,support_retention_chrono,support_retention_interleaved,threshold_chrono,threshold_interleaved,hyperparameters
PS_002,TW_04b9f5d95694,10578,3527,5289,5289,5286,5256,19,19,True,True,,,0.06426248513274606,0.06590174151477415,-0.0016392563820280953,0.06664268468869113,0.06487703256784821,0.0017656521208429116,-0.003404908502871007,3054,3265,0.8658916926566487,0.9257159058690105,0.4210721183708755,0.4573486696089498,"{""alpha"": 0.1, ""n_knots"": 4}"
PS_003,TW_04b9f5d95694,10119,3374,5059,5060,5035,5034,19,19,True,True,,,0.05469038603673776,0.05490786552371359,-0.0002174794869758273,0.05549644173705578,0.05763123005980556,-0.002134788322749784,0.0019173088357739565,2970,3191,0.8802608180201541,0.9457617071724955,0.42492241752447507,0.45401984172601867,"{""alpha"": 0.1, ""n_knots"": 4}"
PS_035,TW_88a108921af7,4883,1628,2441,2442,2549,2334,8,8,True,True,,,0.05989649571240415,0.06101872970001542,-0.0011222339876112708,0.06123022614937748,0.05895441293383125,0.0022758132155462282,-0.003398047203157499,1393,1288,0.8556511056511057,0.7911547911547911,0.6526038320071188,0.613277551906869,"{""alpha"": 0.1, ""n_knots"": 4}"
PS_039,TW_88a108921af7,3952,1318,1976,1976,2151,1801,8,8,True,True,,,0.10733327824744703,0.07502130178056865,0.032311976466878375,0.08225240246681294,0.08885125619216025,-0.006598853725347312,0.03891083019222569,979,940,0.7427921092564491,0.7132018209408194,0.5675869954768348,0.5596830649790843,"{""alpha"": 10, ""n_knots"": 4}"
PS_042,TW_4467a039e00b,2455,819,1227,1228,1194,1168,4,4,True,True,,,0.04842356355903252,0.06432127611171924,-0.015897712552686724,0.04865627194577185,0.07160378132294937,-0.022947509377177516,0.007049796824490792,347,355,0.4236874236874237,0.43345543345543347,0.6356093344006585,0.581424385684263,"{""alpha"": 0.1, ""n_knots"": 6}"
PS_043,TW_4467a039e00b,2370,791,1185,1185,1195,1022,4,4,True,True,,,0.08106848061950775,0.0884332657876786,-0.007364785168170851,0.08735137262871076,0.0816709017561613,0.005680470872549456,-0.013045256040720307,535,659,0.6763590391908976,0.8331226295828066,0.5429225043613432,0.5866352877889917,"{""alpha"": 10, ""n_knots"": 8}"
PS_044,TW_4467a039e00b,2503,835,1251,1252,1199,1194,4,4,True,True,,,0.08221828940715009,0.07470371521764381,0.007514574189506282,0.07460280050367432,0.08400132471141074,-0.009398524207736417,0.0169130983972427,621,593,0.7437125748502994,0.7101796407185629,0.6983226887091136,0.6358308495140429,"{""alpha"": 1, ""n_knots"": 8}"
PS_045,TW_4467a039e00b,2196,732,1098,1098,1044,893,4,4,True,True,,,0.04672890246138359,0.0444379537371055,0.00229094872427809,0.047193651692972974,0.04845131597326034,-0.0012576642802873683,0.003548613004565458,467,494,0.6379781420765027,0.674863387978142,0.8201902602075684,0.7707873793499713,"{""alpha"": 10, ""n_knots"": 8}"
PS_046,TW_4467a039e00b,1710,570,855,855,899,811,3,3,True,True,,,0.07287783045140257,0.06273914898511485,0.010138681466287727,0.08498130338464678,0.06167500813294332,0.02330629525170346,-0.013167613785415734,409,454,0.7175438596491228,0.7964912280701755,0.7045131979525946,0.7424560286097496,"{""alpha"": 0.1, ""n_knots"": 8}"
PS_047,TW_4467a039e00b,1725,576,862,863,841,812,3,3,True,True,,,0.11895354155627048,0.11602295971501131,0.002930581841259175,0.12106191056980041,0.12367780751367312,-0.0026158969438727087,0.005546478785131884,386,398,0.6701388888888888,0.6909722222222222,0.6664548587119015,0.6619516261320783,"{""alpha"": 10, ""n_knots"": 4}"
PS_048,TW_4467a039e00b,2215,739,1107,1108,1300,915,5,5,False,False,degenerate_iqr:wind_speed_ms,degenerate_iqr:wind_speed_ms,,,,,,,,,,,,,,"{""alpha"": 0.1, ""n_knots"": 6}"
PS_049,TW_4467a039e00b,2129,710,1064,1065,1209,920,5,5,True,True,,,0.06519803675211581,0.059125656633240924,0.006072380118874891,0.06089408685594776,0.06293823363939885,-0.0020441467834510924,0.008116526902325984,541,538,0.7619718309859155,0.7577464788732394,0.7270234175067769,0.6921274767606546,"{""alpha"": 0.1, ""n_knots"": 6}"
PS_050,TW_4467a039e00b,2521,841,1260,1261,1202,1192,4,4,True,True,,,0.0736627216965597,0.06206106241254345,0.011601659284016248,0.058810653632012606,0.05739515492021342,0.0014154987117991832,0.010186160572217065,534,564,0.6349583828775267,0.6706302021403091,0.5898765383947512,0.6146921828720486,"{""alpha"": 10, ""n_knots"": 4}"
PS_051,TW_4467a039e00b,2239,747,1119,1120,1198,1041,4,4,True,True,,,0.08938946150225145,0.08856133842625052,0.0008281230760009278,0.0663736784031691,0.06298216830425774,0.0033915100989113656,-0.0025633870229104377,323,558,0.4323962516733601,0.7469879518072289,0.6355487398064479,0.5828167861290742,"{""alpha"": 0.1, ""n_knots"": 6}"
