group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,CS4_R9,True,,3374,3199,88,0.9481327800829875,0.4062346076280548,6,0.05712021276954012,0.05616324102436571,0.0009569717451744161,0.017039111841128367,True
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,CS4_R9,True,,3527,3337,92,0.9461298554011908,0.41497290002681125,6,0.06741297343141421,0.0662131708823767,0.0011998025490375097,0.018120300433411944,True
TW_4467a039e00b,PS_042,PS_043,SplineRidge,CS4_R9,True,,791,614,20,0.7762326169405815,0.5311994797362574,6,0.06785118684462979,0.08490617237456927,-0.017054985529939476,-0.2008686182990356,True
TW_4467a039e00b,PS_042,PS_044,SplineRidge,CS4_R9,True,,835,405,21,0.48502994011976047,0.5311994797362574,6,0.08809958786036037,0.0768248103297875,0.011274777530572877,0.14675958823944243,True
TW_4467a039e00b,PS_042,PS_045,SplineRidge,CS4_R9,True,,732,195,19,0.26639344262295084,0.5311994797362574,6,0.05652545741049915,0.06505029188249507,-0.008524834471995923,-0.13104990347153142,True
TW_4467a039e00b,PS_042,PS_046,SplineRidge,CS4_R9,True,,570,300,16,0.5263157894736842,0.5311994797362574,6,0.06367957148816278,0.06852278802129198,-0.004843216533129205,-0.07068037762305117,True
TW_4467a039e00b,PS_042,PS_047,SplineRidge,CS4_R9,True,,576,171,16,0.296875,0.5311994797362574,6,0.05984052359679772,0.06337767156389568,-0.0035371479670979547,-0.0558106329850237,True
TW_4467a039e00b,PS_042,PS_048,SplineRidge,CS4_R9,True,,739,167,18,0.2259810554803789,0.5311994797362574,6,0.031682550491055124,0.0315586761810078,0.00012387431004732413,0.003925206156837226,True
TW_4467a039e00b,PS_042,PS_049,SplineRidge,CS4_R9,True,,710,145,18,0.20422535211267606,0.5311994797362574,6,0.07559855600449247,0.07848331083641197,-0.002884754831919495,-0.03675628361209663,True
TW_4467a039e00b,PS_042,PS_050,SplineRidge,CS4_R9,True,,841,124,21,0.14744351961950058,0.5311994797362574,6,0.060713144480252876,0.05838196452550783,0.0023311799547450426,0.039929796362479716,True
TW_4467a039e00b,PS_042,PS_051,SplineRidge,CS4_R9,True,,747,535,18,0.7161981258366801,0.5311994797362574,6,0.09408145658846757,0.06622993813293904,0.027851518455528537,0.42052762301580293,True
TW_4467a039e00b,PS_043,PS_042,SplineRidge,CS4_R9,True,,819,211,20,0.2576312576312576,0.5142527041119462,6,0.07320280781481983,0.05037894981600637,0.02282385799881346,0.4530435446187462,True
TW_4467a039e00b,PS_043,PS_044,SplineRidge,CS4_R9,True,,835,220,20,0.2634730538922156,0.5142527041119462,6,0.11950140220662639,0.0742769436336246,0.045224458573001794,0.6088626747497057,True
TW_4467a039e00b,PS_043,PS_045,SplineRidge,CS4_R9,True,,732,148,18,0.20218579234972678,0.5142527041119462,6,0.06967489669766339,0.05447965624975984,0.015195240447903546,0.2789158650018195,True
TW_4467a039e00b,PS_043,PS_046,SplineRidge,CS4_R9,True,,570,149,16,0.2614035087719298,0.5142527041119462,6,0.07487211899233352,0.06064249764575111,0.014229621346582413,0.23464767941627493,True
TW_4467a039e00b,PS_043,PS_047,SplineRidge,CS4_R9,True,,576,97,16,0.1684027777777778,0.5142527041119462,6,0.07971405226988929,0.049228466816613935,0.03048558545327535,0.6192674162866043,True
TW_4467a039e00b,PS_043,PS_048,SplineRidge,CS4_R9,True,,739,154,18,0.2083897158322057,0.5142527041119462,6,0.040956402572442846,0.02713629095936007,0.013820111613082775,0.5092852090132763,True
TW_4467a039e00b,PS_043,PS_049,SplineRidge,CS4_R9,True,,710,105,17,0.14788732394366197,0.5142527041119462,6,0.0729901300189786,0.06359837111183264,0.009391758907145956,0.14767294732488195,True
TW_4467a039e00b,PS_043,PS_050,SplineRidge,CS4_R9,True,,841,69,20,0.08204518430439953,0.5142527041119462,6,0.0717641996830225,0.0537249309173709,0.018039268765651602,0.3357709066838271,True
TW_4467a039e00b,PS_043,PS_051,SplineRidge,CS4_R9,True,,747,411,18,0.5502008032128514,0.5142527041119462,6,0.11149055719659444,0.07578979416433072,0.035700763032263716,0.47104974259272653,True
TW_4467a039e00b,PS_044,PS_042,SplineRidge,CS4_R9,True,,819,578,20,0.7057387057387058,0.5641376971789263,6,0.06230751961026845,0.06167791088932499,0.0006296087209434614,0.010208009834724023,True
TW_4467a039e00b,PS_044,PS_043,SplineRidge,CS4_R9,True,,791,389,20,0.4917825537294564,0.5641376971789263,6,0.07914031616886458,0.0764114767135262,0.002728839455338375,0.03571242924108181,True
TW_4467a039e00b,PS_044,PS_045,SplineRidge,CS4_R9,True,,732,429,19,0.5860655737704918,0.5641376971789263,6,0.050656600504779804,0.04703737671113343,0.0036192237936463756,0.07694357225473694,True
TW_4467a039e00b,PS_044,PS_046,SplineRidge,CS4_R9,True,,570,458,16,0.8035087719298246,0.5641376971789263,6,0.06843851281812227,0.06452512647199476,0.0039133863461275065,0.06064903023206002,True
TW_4467a039e00b,PS_044,PS_047,SplineRidge,CS4_R9,True,,576,312,16,0.5416666666666666,0.5641376971789263,6,0.1049335221453741,0.09777575316694335,0.007157768978430748,0.07320597128215926,True
TW_4467a039e00b,PS_044,PS_048,SplineRidge,CS4_R9,True,,739,305,18,0.41271989174560214,0.5641376971789263,6,0.05415607710823768,0.04502423550992074,0.00913184159831694,0.20282058084705978,True
TW_4467a039e00b,PS_044,PS_049,SplineRidge,CS4_R9,True,,710,402,17,0.5661971830985916,0.5641376971789263,6,0.06380955595983175,0.05852916934631758,0.005280386613514168,0.09021803440042138,True
