source_plant_id,target_plant_id,relation,jaccard,n_primary_supported,n_r9_supported,delta_support_retention,delta_otg_abs
PS_002,PS_003,identical,1.0,3199,3199,0.0,-2.157996004115148e-15
PS_003,PS_002,identical,1.0,3337,3337,0.0,3.191891195797325e-16
PS_035,PS_039,identical,1.0,736,736,0.0,-2.220446049250313e-15
PS_039,PS_035,identical,1.0,673,673,0.0,4.767020111984266e-15
PS_042,PS_043,identical,1.0,614,614,0.0,2.456368441983159e-15
PS_042,PS_044,identical,1.0,405,405,0.0,-3.530509218307998e-14
PS_042,PS_045,identical,1.0,195,195,0.0,-2.6291469001904488e-14
PS_042,PS_046,identical,1.0,300,300,0.0,1.0158540675320182e-14
PS_042,PS_047,identical,1.0,171,171,0.0,-8.604228440844963e-15
PS_042,PS_048,identical,1.0,167,167,0.0,6.571132527000145e-15
PS_042,PS_049,identical,1.0,145,145,0.0,-6.356026815979021e-15
PS_042,PS_050,identical,1.0,124,124,0.0,-3.071154441869339e-14
PS_042,PS_051,identical,1.0,535,535,0.0,2.3175905639050143e-15
PS_043,PS_042,identical,1.0,211,211,0.0,-1.3052059433249497e-14
PS_043,PS_044,identical,1.0,220,220,0.0,-5.953570969552402e-15
PS_043,PS_045,identical,1.0,148,148,0.0,1.1678158440275865e-14
PS_043,PS_046,identical,1.0,149,149,0.0,1.0200174038743626e-15
PS_043,PS_047,identical,1.0,97,97,0.0,1.3801459974871477e-14
PS_043,PS_048,identical,1.0,154,154,0.0,1.4710455076283324e-14
PS_043,PS_049,identical,1.0,105,105,0.0,1.1379786002407855e-15
PS_043,PS_050,identical,1.0,69,69,0.0,-1.9609314172441827e-14
PS_043,PS_051,identical,1.0,411,411,0.0,-6.2450045135165055e-15
PS_044,PS_042,identical,1.0,578,578,0.0,-2.341182803178299e-14
PS_044,PS_043,identical,1.0,389,389,0.0,-7.563394355258879e-15
PS_044,PS_045,identical,1.0,429,429,0.0,7.5842110369706e-15
PS_044,PS_046,identical,1.0,458,458,0.0,2.609024107869118e-15
PS_044,PS_047,identical,1.0,312,312,0.0,-5.551115123125783e-17
PS_044,PS_048,identical,1.0,305,305,0.0,-9.353628982466944e-15
PS_044,PS_049,identical,1.0,402,402,0.0,-4.697631172945194e-15
PS_044,PS_050,identical,1.0,424,424,0.0,1.0123846205800646e-14
PS_044,PS_051,identical,1.0,326,326,0.0,-2.6367796834847468e-15
PS_045,PS_042,identical,1.0,485,485,0.0,-2.5757174171303632e-14
PS_045,PS_043,identical,1.0,207,207,0.0,1.5543122344752192e-15
PS_045,PS_044,identical,1.0,451,451,0.0,1.1629586182948515e-14
PS_045,PS_046,identical,1.0,470,470,0.0,3.594347042223944e-15
PS_045,PS_047,identical,1.0,417,417,0.0,1.2073675392798577e-15
PS_045,PS_048,identical,1.0,170,170,0.0,-7.216449660063518e-16
PS_045,PS_049,identical,1.0,521,521,0.0,1.8596235662471372e-15
PS_045,PS_050,identical,1.0,586,586,0.0,-1.880440247958859e-15
PS_045,PS_051,identical,1.0,250,250,0.0,1.734723475976807e-15
PS_046,PS_042,identical,1.0,472,472,0.0,2.615963001773025e-15
PS_046,PS_043,identical,1.0,286,286,0.0,-9.298117831235686e-15
PS_046,PS_044,identical,1.0,463,463,0.0,2.7755575615628914e-15
PS_046,PS_045,identical,1.0,502,502,0.0,-1.0727529975440575e-14
PS_046,PS_047,identical,1.0,425,425,0.0,-1.887379141862766e-15
PS_046,PS_048,identical,1.0,82,82,0.0,2.0816681711721685e-15
PS_046,PS_049,identical,1.0,484,484,0.0,-4.142519660632615e-15
PS_046,PS_050,identical,1.0,573,573,0.0,-7.13318293321663e-15
PS_046,PS_051,identical,1.0,294,294,0.0,-8.271161533457416e-15
PS_047,PS_042,identical,1.0,586,586,0.0,-6.822320486321587e-14
PS_047,PS_043,identical,1.0,298,298,0.0,-9.3119956190435e-15
PS_047,PS_044,identical,1.0,571,571,0.0,-2.55351295663786e-15
PS_047,PS_045,identical,1.0,548,548,0.0,-4.163336342344337e-15
PS_047,PS_046,identical,1.0,487,487,0.0,-9.575673587391975e-16
PS_047,PS_048,identical,1.0,132,132,0.0,2.67841304690819e-15
PS_047,PS_049,identical,1.0,477,477,0.0,0.0
PS_047,PS_050,identical,1.0,536,536,0.0,-1.6653345369377348e-15
PS_047,PS_051,identical,1.0,319,319,0.0,1.7069679003611782e-15
PS_049,PS_042,identical,1.0,580,580,0.0,-7.930461842775571e-14
PS_049,PS_043,identical,1.0,398,398,0.0,1.2420620087993939e-15
PS_049,PS_044,identical,1.0,588,588,0.0,7.494005416219807e-16
PS_049,PS_045,identical,1.0,555,555,0.0,-1.2330414467243145e-14
PS_049,PS_046,identical,1.0,516,516,0.0,-6.7584826624056404e-15
PS_049,PS_047,identical,1.0,428,428,0.0,-9.298117831235686e-16
PS_049,PS_048,identical,1.0,162,162,0.0,3.83026943495679e-15
PS_049,PS_050,identical,1.0,587,587,0.0,-2.213507155346406e-15
PS_049,PS_051,identical,1.0,262,262,0.0,3.4833247397614286e-15
PS_050,PS_042,identical,1.0,603,603,0.0,-3.6311231799146526e-14
PS_050,PS_043,identical,1.0,472,472,0.0,-6.682154829462661e-15
PS_050,PS_044,identical,1.0,631,631,0.0,3.2612801348363973e-15
PS_050,PS_045,identical,1.0,573,573,0.0,-2.768618667658984e-15
PS_050,PS_046,identical,1.0,536,536,0.0,-1.887379141862766e-15
PS_050,PS_047,identical,1.0,502,502,0.0,1.7486012637846216e-15
PS_050,PS_048,identical,1.0,156,156,0.0,3.5041414214731503e-15
PS_050,PS_049,identical,1.0,568,568,0.0,1.817990202823694e-15
PS_050,PS_051,identical,1.0,404,404,0.0,-2.157996004115148e-15
PS_051,PS_042,identical,1.0,201,201,0.0,-1.0845491171806998e-14
PS_051,PS_043,identical,1.0,504,504,0.0,3.95516952522712e-15
PS_051,PS_044,identical,1.0,179,179,0.0,1.1476930517062556e-14
PS_051,PS_045,identical,1.0,157,157,0.0,1.9588497490730106e-14
PS_051,PS_046,identical,1.0,185,185,0.0,7.0637939941775585e-15
PS_051,PS_047,identical,1.0,156,156,0.0,2.3314683517128287e-15
PS_051,PS_048,identical,1.0,83,83,0.0,-1.500535806719938e-14
PS_051,PS_049,identical,1.0,166,166,0.0,9.603429163007604e-15
PS_051,PS_050,identical,1.0,133,133,0.0,6.952771691715043e-15
