deleted_plant,deleted_group,scope,rq1,n_directional,n_targets,delta_rq1,rq2,n_pairs,delta_rq2,rq2_estimable
PS_042,TW_4467a039e00b,G2_only,0.017548379810822606,64,9,0.0023668828308712093,0.03811555580484413,28,0.0016406453176306401,True
PS_043,TW_4467a039e00b,G2_only,0.015735310231609595,64,9,0.000553813251658198,0.037975872105997024,28,0.0015009616187835334,True
PS_044,TW_4467a039e00b,G2_only,0.014377209722722708,64,9,-0.0008042872572286888,0.039488492904321236,28,0.003013582417107745,True
PS_045,TW_4467a039e00b,G2_only,0.016282569583948924,64,9,0.0011010726039975272,0.03971693710270055,28,0.003242026615487059,True
PS_046,TW_4467a039e00b,G2_only,0.017879021861712543,64,9,0.0026975248817611465,0.04136039965667054,28,0.004885489169457052,True
PS_047,TW_4467a039e00b,G2_only,0.006421498265487018,64,9,-0.008759998714464378,0.015177565187407397,28,-0.021297345299806092,True
PS_048,TW_4467a039e00b,G2_only,0.014946340642431367,72,9,-0.00023515633752002954,0.03647491048721349,36,0.0,True
PS_049,TW_4467a039e00b,G2_only,0.016854406796303997,64,9,0.0016729098163526003,0.04027231420897388,28,0.0037974037217603923,True
PS_050,TW_4467a039e00b,G2_only,0.01746741888053114,64,9,0.0022859219005797425,0.039090493442265985,28,0.0026155829550524937,True
PS_051,TW_4467a039e00b,G2_only,0.01430281400394408,64,9,-0.0008786829760073171,0.03707656397174064,28,0.0006016534845271482,True
