deleted_plant,deleted_group,remaining_n_pairs,remaining_n_plants,rq2,median_abs,delta,abs_delta,estimable
PS_002,TW_04b9f5d95694,37,11,0.0314187209210933,0.015610495058470696,0.004796290787266566,0.004796290787266566,True
PS_003,TW_04b9f5d95694,37,11,0.0314187209210933,0.015610495058470696,0.004796290787266566,0.004796290787266566,True
PS_035,TW_88a108921af7,37,11,0.029887259635694784,0.015610495058470696,0.0032648295018680475,0.0032648295018680475,True
PS_039,TW_88a108921af7,37,11,0.029887259635694784,0.015610495058470696,0.0032648295018680475,0.0032648295018680475,True
PS_042,TW_4467a039e00b,30,12,0.02689515364946494,0.0165116103449235,0.00027272351563820477,0.00027272351563820477,True
PS_043,TW_4467a039e00b,30,12,0.026802031183566864,0.010331495703859692,0.00017960104974012667,0.00017960104974012667,True
PS_044,TW_4467a039e00b,30,12,0.027810445049116343,0.016909340854996496,0.0011880149152896056,0.0011880149152896056,True
PS_045,TW_4467a039e00b,30,12,0.02796274118136922,0.017834796991136433,0.0013403110475424841,0.0013403110475424841,True
PS_046,TW_4467a039e00b,30,12,0.029058382884015882,0.017834796991136433,0.002435952750189145,0.002435952750189145,True
PS_047,TW_4467a039e00b,30,12,0.011603159904507117,0.008337529794446852,-0.01501927022931962,0.01501927022931962,True
PS_048,TW_4467a039e00b,38,13,0.026622430133826737,0.015586154208783561,0.0,0.0,True
PS_049,TW_4467a039e00b,30,12,0.02833299258555144,0.0165116103449235,0.0017105624517247016,0.0017105624517247016,True
PS_050,TW_4467a039e00b,30,12,0.027545112074412837,0.017834796991136433,0.0009226819405861002,0.0009226819405861002,True
PS_051,TW_4467a039e00b,30,12,0.026202492427395946,0.009341845235815282,-0.00041993770643079104,0.00041993770643079104,True
