group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,primary_computable,d_pair,source_full_duration,target_full_duration,duration_imbalance,shorter_side,n_source_matched,n_target_matched,source_matched_start,source_matched_end,target_matched_start,target_matched_end,source_matched_elapsed,target_matched_elapsed,matched_row_ratio
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,CS4_R10,False,True,266.3645833333333,266.3645833333333,267.03125,0.6666666666666856,source,10578,10077,2024-03-27T09:45:00+00:00,2024-12-18T18:30:00+00:00,2024-04-04T10:00:00+00:00,2024-12-26T10:30:00+00:00,266.3645833333333,266.0208333333333,1.0497171777314678
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,CS4_R10,False,True,266.3645833333333,267.03125,266.3645833333333,0.6666666666666856,target,10077,10578,2024-04-04T10:00:00+00:00,2024-12-26T10:30:00+00:00,2024-03-27T09:45:00+00:00,2024-12-18T18:30:00+00:00,266.0208333333333,266.3645833333333,0.9526375496313103
TW_4467a039e00b,PS_042,PS_043,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,59.979166666666664,1.8645833333333286,source,2455,2294,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-02T11:30:00+00:00,2025-04-29T14:15:00+00:00,58.114583333333336,58.114583333333336,1.0701830863121187
TW_4467a039e00b,PS_042,PS_044,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,58.854166666666664,0.7395833333333286,source,2455,2481,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-01T09:45:00+00:00,2025-04-28T11:30:00+00:00,58.114583333333336,58.072916666666664,0.9895203546956872
TW_4467a039e00b,PS_042,PS_045,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,62.927083333333336,4.8125,source,2455,1999,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-05T11:00:00+00:00,2025-05-02T13:45:00+00:00,58.114583333333336,58.114583333333336,1.2281140570285143
TW_4467a039e00b,PS_042,PS_046,SplineRidge,CS4_R10,False,True,39.916666666666664,58.114583333333336,39.916666666666664,18.19791666666667,target,1633,1710,2025-03-18T20:00:00+00:00,2025-04-27T17:45:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.90625,39.916666666666664,0.9549707602339181
TW_4467a039e00b,PS_042,PS_047,SplineRidge,CS4_R10,False,True,43.854166666666664,58.114583333333336,43.854166666666664,14.260416666666671,target,1795,1725,2025-03-15T10:00:00+00:00,2025-04-27T17:45:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.322916666666664,43.854166666666664,1.0405797101449274
TW_4467a039e00b,PS_042,PS_048,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,64.84375,6.729166666666664,source,2455,1922,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-07T09:45:00+00:00,2025-05-04T12:15:00+00:00,58.114583333333336,58.104166666666664,1.277315296566077
TW_4467a039e00b,PS_042,PS_049,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,64.91666666666667,6.802083333333336,source,2455,1830,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-07T11:15:00+00:00,2025-05-04T14:00:00+00:00,58.114583333333336,58.114583333333336,1.3415300546448088
TW_4467a039e00b,PS_042,PS_050,SplineRidge,CS4_R10,False,True,58.114583333333336,58.114583333333336,59.03125,0.9166666666666643,source,2455,2484,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,2025-03-01T14:00:00+00:00,2025-04-28T16:45:00+00:00,58.114583333333336,58.114583333333336,0.9883252818035426
