plant_id,train_start,train_end,duration_days,n_train,n_calendar_days,group_id
PS_002,2024-03-27T09:45:00+00:00,2024-12-18T18:30:00+00:00,266.3645833333333,10578,266,TW_04b9f5d95694
PS_003,2024-04-03T09:45:00+00:00,2024-12-26T10:30:00+00:00,267.03125,10119,260,TW_04b9f5d95694
PS_035,2024-11-25T15:00:00+00:00,2025-03-13T16:00:00+00:00,108.04166666666667,4883,109,TW_88a108921af7
PS_039,2024-12-06T20:15:00+00:00,2025-03-25T19:30:00+00:00,108.96875,3952,104,TW_88a108921af7
PS_042,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.114583333333336,2455,59,TW_4467a039e00b
PS_043,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,59.979166666666664,2370,60,TW_4467a039e00b
PS_044,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,58.854166666666664,2503,60,TW_4467a039e00b
PS_045,2025-02-28T15:30:00+00:00,2025-05-02T13:45:00+00:00,62.927083333333336,2196,54,TW_4467a039e00b
PS_046,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,1710,41,TW_4467a039e00b
PS_047,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,1725,45,TW_4467a039e00b
PS_048,2025-02-28T16:00:00+00:00,2025-05-04T12:15:00+00:00,64.84375,2215,56,TW_4467a039e00b
PS_049,2025-02-28T16:00:00+00:00,2025-05-04T14:00:00+00:00,64.91666666666667,2129,54,TW_4467a039e00b
PS_050,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.03125,2521,60,TW_4467a039e00b
PS_051,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,2239,54,TW_4467a039e00b
