removed_control,estimable,states_affected,targets_affected,n_remaining_distinct_controls,n_targets_retained,fleet,shift_from_equal_control_r8,sign
PS_001,True,SP,"PS_035,PS_039",11,10,0.039094314543911435,0.0005572748270830999,positive
PS_005,True,GO,"PS_042,PS_043,PS_044,PS_048,PS_049,PS_050",11,10,0.04761433003448854,0.009077290317660205,positive
PS_007,True,RJ,"PS_002,PS_003",11,10,0.03789933037156976,-0.0006377093452585719,positive
PS_008,True,SP,"PS_035,PS_039",11,10,0.039093859594987776,0.0005568198781594411,positive
PS_009,True,SP,"PS_035,PS_039",11,10,0.03893163904357878,0.00039459932675044856,positive
PS_010,True,SP,"PS_035,PS_039",11,10,0.0365879372514857,-0.0019491024653426336,positive
PS_011,True,SP,"PS_035,PS_039",11,10,0.038194130453923565,-0.00034290926290476975,positive
PS_012,True,GO,"PS_042,PS_043,PS_044,PS_048,PS_049,PS_050",11,10,0.02945974939916813,-0.009077290317660205,positive
PS_013,True,SP,"PS_035,PS_039",11,10,0.038916552823811,0.00037951310698266377,positive
PS_036,True,SP,"PS_035,PS_039",11,10,0.038879539920864944,0.0003425002040366096,positive
PS_037,True,RJ,"PS_002,PS_003",11,10,0.039174749062086914,0.0006377093452585789,positive
PS_038,True,SP,"PS_035,PS_039",11,10,0.03859834410206346,6.130438523512666e-05,positive
