assignment_id,control_RJ,control_SP,control_GO,fleet,is_primary_assignment,orientation
0,PS_007,PS_001,PS_005,0.026196534954845013,False,CONTROL_MINUS_TWIN
1,PS_007,PS_001,PS_012,0.04435111559016543,False,CONTROL_MINUS_TWIN
2,PS_007,PS_008,PS_005,0.0261997195973106,True,CONTROL_MINUS_TWIN
3,PS_007,PS_008,PS_012,0.04435430023263101,False,CONTROL_MINUS_TWIN
4,PS_007,PS_009,PS_005,0.02733526345717354,False,CONTROL_MINUS_TWIN
5,PS_007,PS_009,PS_012,0.04548984409249395,False,CONTROL_MINUS_TWIN
6,PS_007,PS_010,PS_005,0.04374117600182512,False,CONTROL_MINUS_TWIN
7,PS_007,PS_010,PS_012,0.06189575663714553,False,CONTROL_MINUS_TWIN
8,PS_007,PS_011,PS_005,0.03249782358476009,False,CONTROL_MINUS_TWIN
9,PS_007,PS_011,PS_012,0.050652404220080494,False,CONTROL_MINUS_TWIN
10,PS_007,PS_013,PS_005,0.027440866995548024,False,CONTROL_MINUS_TWIN
11,PS_007,PS_013,PS_012,0.04559544763086844,False,CONTROL_MINUS_TWIN
12,PS_007,PS_036,PS_005,0.02769995731617046,False,CONTROL_MINUS_TWIN
13,PS_007,PS_036,PS_012,0.045854537951490866,False,CONTROL_MINUS_TWIN
14,PS_007,PS_038,PS_005,0.029668328047780794,False,CONTROL_MINUS_TWIN
15,PS_007,PS_038,PS_012,0.0478229086831012,False,CONTROL_MINUS_TWIN
16,PS_037,PS_001,PS_005,0.024921116264327865,False,CONTROL_MINUS_TWIN
17,PS_037,PS_001,PS_012,0.043075696899648276,False,CONTROL_MINUS_TWIN
18,PS_037,PS_008,PS_005,0.02492430090679345,False,CONTROL_MINUS_TWIN
19,PS_037,PS_008,PS_012,0.04307888154211386,False,CONTROL_MINUS_TWIN
20,PS_037,PS_009,PS_005,0.026059844766656393,False,CONTROL_MINUS_TWIN
21,PS_037,PS_009,PS_012,0.0442144254019768,False,CONTROL_MINUS_TWIN
22,PS_037,PS_010,PS_005,0.04246575731130797,False,CONTROL_MINUS_TWIN
23,PS_037,PS_010,PS_012,0.060620337946628376,False,CONTROL_MINUS_TWIN
24,PS_037,PS_011,PS_005,0.03122240489424294,False,CONTROL_MINUS_TWIN
25,PS_037,PS_011,PS_012,0.04937698552956335,False,CONTROL_MINUS_TWIN
26,PS_037,PS_013,PS_005,0.026165448305030876,False,CONTROL_MINUS_TWIN
27,PS_037,PS_013,PS_012,0.04432002894035129,False,CONTROL_MINUS_TWIN
28,PS_037,PS_036,PS_005,0.026424538625653304,False,CONTROL_MINUS_TWIN
29,PS_037,PS_036,PS_012,0.044579119260973715,False,CONTROL_MINUS_TWIN
30,PS_037,PS_038,PS_005,0.02839290935726364,False,CONTROL_MINUS_TWIN
31,PS_037,PS_038,PS_012,0.046547489992584054,False,CONTROL_MINUS_TWIN
