target_id,target_state,n_eligible_controls,primary_control,primary_target_mean,all_control_mean,alternative_only_mean,selected_minus_alternatives,min,p25,median,p75,max,range,sd,n_positive,n_negative,n_zero,all_same_sign,sign_pattern,frac_controls_below_primary,frac_controls_equal_primary,frac_controls_above_primary,primary_structural_rank,primary_best_structural_rank,n_structural_ties_at_primary
PS_002,RJ,2,PS_007,0.026171642798493336,0.023398215575130124,0.020624788351766912,0.005546854446726424,0.020624788351766912,0.022011501963448518,0.023398215575130124,0.02478492918681173,0.026171642798493336,0.005546854446726424,0.003922218393535009,2,0,0,True,all_positive,0.5,0.5,0.0,1,True,1
PS_003,RJ,2,PS_007,0.03323180533205084,0.029628139102828303,0.026024472873605764,0.007207332458445077,0.026024472873605764,0.02782630598821703,0.029628139102828303,0.031429972217439574,0.03323180533205084,0.007207332458445077,0.005096353655632425,2,0,0,True,all_positive,0.5,0.5,0.0,1,True,1
PS_035,SP,8,PS_008,-0.021236868572330925,-0.0004400764837465265,0.0025308938146226733,-0.0237677623869536,-0.021236868572330925,-0.015121758838046737,-0.010613845481519096,0.004250329719688148,0.05835895906075161,0.07959582763308254,0.02576926941261514,3,5,0,False,mixed,0.0,0.125,0.875,1,True,1
PS_039,SP,8,PS_008,-8.831502597680951e-05,0.018092284356599844,0.02068951283982508,-0.02077782786580189,-0.006518616049950847,-0.0004887696024244471,0.006841678351316646,0.016184310029154287,0.09573042138608587,0.10224903743603672,0.033571698780757636,5,3,0,False,mixed,0.25,0.125,0.625,1,True,1
PS_042,GO,2,PS_005,0.03896029817102969,0.06682851484211087,0.09469673151319206,-0.05573643334216238,0.03896029817102969,0.052894406506570284,0.06682851484211087,0.08076262317765147,0.09469673151319206,0.05573643334216238,0.039411609975395,2,0,0,True,all_positive,0.0,0.5,0.5,1,True,1
PS_043,GO,2,PS_005,0.03433554892043977,0.05479040368138206,0.07524525844232435,-0.04090970952188458,0.03433554892043977,0.04456297630091092,0.05479040368138206,0.06501783106185322,0.07524525844232435,0.04090970952188458,0.02892753301929646,2,0,0,True,all_positive,0.0,0.5,0.5,1,True,1
PS_044,GO,2,PS_005,0.015169632590129342,0.04144311828153067,0.067716603972932,-0.052546971382802656,0.015169632590129342,0.028306375435830006,0.04144311828153067,0.05457986112723134,0.067716603972932,0.052546971382802656,0.037156319795595215,2,0,0,True,all_positive,0.0,0.5,0.5,1,True,1
PS_048,GO,2,PS_005,0.06788980253415011,0.04856556186200267,0.029241321189855236,0.038648481344294876,0.029241321189855236,0.03890344152592896,0.04856556186200267,0.05822768219807639,0.06788980253415011,0.038648481344294876,0.027328603241112682,2,0,0,True,all_positive,0.5,0.5,0.0,1,True,1
PS_049,GO,2,PS_005,0.03993763644312534,0.05433599252147778,0.06873434859983021,-0.028796712156704873,0.03993763644312534,0.04713681448230156,0.05433599252147778,0.061535170560653996,0.06873434859983021,0.028796712156704873,0.020362350441883104,2,0,0,True,all_positive,0.0,0.5,0.5,1,True,1
PS_050,GO,2,PS_005,0.0276260127819953,0.048728243428967546,0.06983047407593979,-0.042204461293944485,0.0276260127819953,0.03817712810548142,0.048728243428967546,0.059279358752453666,0.06983047407593979,0.042204461293944485,0.02984306077727332,2,0,0,True,all_positive,0.0,0.5,0.5,1,True,1
