assignment_id,fleet,is_primary_assignment,orientation,control_PS_002,control_PS_003,control_PS_035,control_PS_039,control_PS_042,control_PS_043,control_PS_044,control_PS_048,control_PS_049,control_PS_050
0,0.026196534954845013,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_005,PS_005,PS_005
1,0.030416981084239465,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_005,PS_005,PS_012
2,0.0290762061705155,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_005,PS_012,PS_005
3,0.033296652299909954,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_005,PS_012,PS_012
4,0.022331686820415524,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_012,PS_005,PS_005
5,0.026552132949809976,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_012,PS_005,PS_012
6,0.025211358036086012,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_012,PS_012,PS_005
7,0.02943180416548046,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_005,PS_012,PS_012,PS_012
8,0.03145123209312528,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_005,PS_005,PS_005
9,0.03567167822251972,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_005,PS_005,PS_012
10,0.03433090330879577,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_005,PS_012,PS_005
11,0.03855134943819021,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_005,PS_012,PS_012
12,0.027586383958695792,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_012,PS_005,PS_005
13,0.03180683008809024,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_012,PS_005,PS_012
14,0.03046605517436628,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_012,PS_012,PS_005
15,0.034686501303760726,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_005,PS_012,PS_012,PS_012,PS_012
16,0.03028750590703347,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_005,PS_005,PS_005
17,0.03450795203642792,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_005,PS_005,PS_012
18,0.03316717712270396,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_005,PS_012,PS_005
19,0.037387623252098406,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_005,PS_012,PS_012
20,0.026422657772603986,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_012,PS_005,PS_005
21,0.030643103901998432,False,CONTROL_MINUS_TWIN,PS_007,PS_007,PS_001,PS_001,PS_005,PS_012,PS_005,PS_012,PS_005,PS_012
