group_id,source_plant_id,target_plant_id,model_family,support_rule,n_supported,n_supported_days,support_retention,twin_mae,local_same_rows_mae,pool_row_mae,pool_bal_mae,otg_twin,otg_pool_row,otg_pool_bal,gain_row_vs_twin,gain_bal_vs_twin,computable,selected_row_hparams,selected_bal_hparams,otg_abs
TW_04b9f5d95694,PS_002,PS_003,SplineRidge,CS4,3199,88,0.9481327800829875,0.05712021276954138,0.056163241024364804,0.058418057422251916,0.06097987797214629,0.0009569717451765741,0.002254816397887112,0.004816636947781484,-0.0012978446527105378,-0.0038596652026049103,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0009569717451765741
TW_04b9f5d95694,PS_003,PS_002,SplineRidge,CS4,3337,92,0.9461298554011908,0.06741297343141281,0.06621317088237562,0.06832298105979709,0.07033675240188082,0.0011998025490371905,0.00210981017742147,0.004123581519505204,-0.0009100076283842795,-0.0029237789704680134,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0011998025490371905
TW_4467a039e00b,PS_042,PS_043,SplineRidge,CS4,614,20,0.7762326169405815,0.06785118684462539,0.08490617237456732,0.0638472877479899,0.06452743286142253,-0.017054985529941932,-0.02105888462657743,-0.020378739513144797,0.0040038990966354965,0.003323753983202865,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.017054985529941932
TW_4467a039e00b,PS_042,PS_044,SplineRidge,CS4,405,21,0.48502994011976047,0.08809958786039605,0.07682481032978787,0.08220178875435999,0.08598214798492199,0.011274777530608182,0.005376978424572118,0.009157337655134115,0.005897799106036064,0.002117439875474067,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",0.011274777530608182
TW_4467a039e00b,PS_042,PS_045,SplineRidge,CS4,195,19,0.26639344262295084,0.05652545741052544,0.06505029188249507,0.05621798679559396,0.05666439826880825,-0.008524834471969632,-0.00883230508690111,-0.008385893613686822,0.0003074706149314779,-0.00013894085828281,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",-0.008524834471969632
TW_4467a039e00b,PS_042,PS_046,SplineRidge,CS4,300,16,0.5263157894736842,0.06367957148815513,0.0685227880212945,0.0615011630101243,0.06299940565137196,-0.004843216533139363,-0.007021625011170193,-0.00552338236992253,0.00217840847803083,0.000680165836783167,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",-0.004843216533139363
TW_4467a039e00b,PS_042,PS_047,SplineRidge,CS4,171,16,0.296875,0.059840523596807214,0.06337767156389656,0.06490932766481729,0.06768809734040578,-0.0035371479670893505,0.0015316561009207225,0.004310425776509211,-0.005068804068010073,-0.007847573743598561,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.0035371479670893505
TW_4467a039e00b,PS_042,PS_048,SplineRidge,CS4,167,18,0.2259810554803789,0.0316825504910523,0.03155867618101155,0.037257997410957956,0.035889887309726365,0.000123874310040753,0.005699321229946409,0.004331211128714818,-0.005575446919905656,-0.004207336818674065,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.000123874310040753
TW_4467a039e00b,PS_042,PS_049,SplineRidge,CS4,145,18,0.20422535211267606,0.07559855600449836,0.0784833108364115,0.07378440255151612,0.07453720638433062,-0.002884754831913139,-0.004698908284895373,-0.0039461044520808786,0.001814153452982234,0.0010613496201677397,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.002884754831913139
TW_4467a039e00b,PS_042,PS_050,SplineRidge,CS4,124,21,0.14744351961950058,0.06071314448028148,0.058381964525505724,0.05805251299114365,0.06105931961549493,0.002331179954775754,-0.00032945153436207686,0.002677355089989203,0.002660631489137831,-0.0003461751352134487,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.002331179954775754
