target_plant_id,variant,candidate_id,hyperparameters,alpha,n_knots,donor_equal_mean_val_mae,fit_status,selected,n_donor_train,n_donor_val,runner_up_val_mae,selection_gap
PS_002,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07590047549629816,ok,True,41017,13674,0.07593745674606255,3.698124976438122e-05
PS_002,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07622549329472803,ok,False,41017,13674,,
PS_002,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07616760194092377,ok,False,41017,13674,,
PS_002,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07616908689479361,ok,False,41017,13674,,
PS_002,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07593745674606255,ok,False,41017,13674,,
PS_002,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07618417525782181,ok,False,41017,13674,,
PS_002,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07808604550862475,ok,False,41017,13674,,
PS_002,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07791235723798326,ok,True,41017,13674,0.07802553751828364,0.00011318028030038452
PS_002,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07802553751828364,ok,False,41017,13674,,
PS_002,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08211776902485143,ok,False,41017,13674,,
PS_002,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11304402764356039,ok,False,41017,13674,,
PS_002,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10581274198467847,ok,False,41017,13674,,
PS_003,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07589220291235542,ok,True,41476,13827,0.07592436790511345,3.2164992758029753e-05
PS_003,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07618405829873082,ok,False,41476,13827,,
PS_003,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07627149056978696,ok,False,41476,13827,,
PS_003,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07627258370494049,ok,False,41476,13827,,
PS_003,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07592436790511345,ok,False,41476,13827,,
PS_003,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07628397944894422,ok,False,41476,13827,,
PS_003,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07809953422562312,ok,False,41476,13827,,
PS_003,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07792140482481999,ok,True,41476,13827,0.078097270712866,0.000175865888046009
PS_003,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.078097270712866,ok,False,41476,13827,,
PS_003,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08201238591938848,ok,False,41476,13827,,
PS_003,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.1128649573054892,ok,False,41476,13827,,
PS_003,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10559378913127933,ok,False,41476,13827,,
PS_035,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07572850517451882,ok,False,46712,15572,,
PS_035,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07570960301547557,ok,False,46712,15572,,
PS_035,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07563834152274868,ok,True,46712,15572,0.07563964734723788,1.305824489206131e-06
PS_035,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07563964734723788,ok,False,46712,15572,,
PS_035,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07576129014419022,ok,False,46712,15572,,
PS_035,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07565327583420724,ok,False,46712,15572,,
PS_035,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07827785944632629,ok,False,46712,15572,,
PS_035,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07816759018991039,ok,True,46712,15572,0.07827785944632629,0.00011026925641589858
PS_035,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07830575247154971,ok,False,46712,15572,,
PS_035,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08234925470096213,ok,False,46712,15572,,
PS_035,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11128375539992812,ok,False,46712,15572,,
PS_035,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10531616219608192,ok,False,46712,15572,,
PS_039,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07303367667673212,ok,False,47643,15882,,
PS_039,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07319128620451062,ok,False,47643,15882,,
PS_039,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07293178969265847,ok,True,47643,15882,0.07293317125424824,1.3815615897694311e-06
PS_039,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07293317125424824,ok,False,47643,15882,,
PS_039,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07306329262860677,ok,False,47643,15882,,
PS_039,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07294702064800482,ok,False,47643,15882,,
PS_039,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07589022341939985,ok,False,47643,15882,,
PS_039,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07573573852347759,ok,False,47643,15882,,
PS_039,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07566598916469812,ok,True,47643,15882,0.07573573852347759,6.97493587794723e-05
PS_039,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08018308418062045,ok,False,47643,15882,,
PS_039,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11126543861816442,ok,False,47643,15882,,
PS_039,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10442484471447405,ok,False,47643,15882,,
PS_042,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07323631942419032,ok,True,49140,16382,0.07325752566393152,2.1206239741208832e-05
PS_042,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07338002145986547,ok,False,49140,16382,,
PS_042,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07325752566393152,ok,False,49140,16382,,
PS_042,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07325922126879394,ok,False,49140,16382,,
PS_042,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07326994868731934,ok,False,49140,16382,,
PS_042,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07327620402100898,ok,False,49140,16382,,
