target_plant_id,group_id,n_computable_twin_directions,mean_twin_mae,median_twin_mae,mean_pool_row_mae,mean_pool_bal_mae,equal_source_mean_gain_row,equal_source_mean_gain_bal,n_pool_row_beats,n_pool_row_loses,n_pool_bal_beats,n_pool_bal_loses,pool_row_beats_every,pool_row_loses_every,pool_bal_beats_every,pool_bal_loses_every
PS_002,TW_04b9f5d95694,1,0.06741297343141281,0.06741297343141281,0.06832298105979709,0.07033675240188082,-0.0009100076283842795,-0.0029237789704680134,0,1,0,1,False,True,False,True
PS_003,TW_04b9f5d95694,1,0.05712021276954138,0.05712021276954138,0.058418057422251916,0.06097987797214629,-0.0012978446527105378,-0.0038596652026049103,0,1,0,1,False,True,False,True
PS_035,TW_88a108921af7,1,0.05895508866371209,0.05895508866371209,0.044721538474686275,0.04240495892645121,0.014233550189025813,0.01655012973726088,1,0,1,0,True,False,True,False
PS_039,TW_88a108921af7,1,0.0654548818568405,0.0654548818568405,0.051849284628085066,0.05712677458775728,0.013605597228755428,0.008328107269083215,1,0,1,0,True,False,True,False
PS_042,TW_4467a039e00b,8,0.07166339853666542,0.057532423637931096,0.04689934468827804,0.054058210437408716,0.02476405384838739,0.017605188099256708,7,1,4,4,False,False,False,False
PS_043,TW_4467a039e00b,8,0.07723705385845307,0.06829286668547818,0.055926614990247134,0.05672486569687872,0.02131043886820594,0.020512188161574352,7,1,7,1,False,False,False,False
PS_044,TW_4467a039e00b,8,0.10480896564288802,0.09129508715197758,0.08353833536608349,0.0877451717942382,0.021270630276804522,0.017063793848649825,6,2,5,3,False,False,False,False
PS_045,TW_4467a039e00b,8,0.06657867897870322,0.053943939258999686,0.04533768982673035,0.04931448907920642,0.021240989151972874,0.017264189899496803,8,0,5,3,True,False,False,False
PS_046,TW_4467a039e00b,8,0.07694917274563229,0.06934399779836031,0.06020253313835773,0.06201662191038697,0.01674663960727455,0.014932550835245317,8,0,8,0,True,False,True,False
PS_047,TW_4467a039e00b,8,0.0849032195125809,0.08584846903399834,0.07521564032604866,0.0772024219466837,0.00968757918653224,0.007700797565897211,7,1,7,1,False,False,False,False
PS_048,TW_4467a039e00b,9,0.05430148280392541,0.048184237804789566,0.04151316293096166,0.04059441350559759,0.012788319872963742,0.013707069298327818,7,2,8,1,False,False,False,False
PS_049,TW_4467a039e00b,8,0.0797345559375294,0.06620952277794462,0.06570869435575705,0.06850815124907536,0.014025861581772353,0.011226404688454046,4,4,3,5,False,False,False,False
PS_050,TW_4467a039e00b,8,0.07720413226302572,0.06362600485137397,0.05654306351408926,0.061099171662143084,0.020661068748936466,0.016104960600882637,8,0,5,3,True,False,False,False
PS_051,TW_4467a039e00b,8,0.09538538495190962,0.08497031418758025,0.07774204204172702,0.07907869558718669,0.017643342910182627,0.01630668936472294,6,2,6,2,False,False,False,False
