target_plant_id,variant,n_donor_plants,donors,n_donor_train_total,n_donor_val_total,train_rows_by_plant,val_rows_by_plant,effective_total_weight_by_plant,balanced_weights_equal,selected_candidate_id,selected_hyperparameters,selected_val_mae,runner_up_val_mae,selection_gap,held_out_target_train_rows,held_out_target_val_rows,scaler_sample_weight,ridge_sample_weight,same_weight_vector_scaler_ridge,spline_transformer_sample_weight
PS_002,row_pooled,13,"PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",41017,13674,"{""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07590047549629816,0.07593745674606255,3.698124976438122e-05,0,0,False,False,True,False
PS_002,plant_balanced,13,"PS_003,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",41017,13674,"{""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07791235723798326,0.07802553751828364,0.00011318028030038452,0,0,True,True,True,False
PS_003,row_pooled,13,"PS_002,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",41476,13827,"{""PS_002"": 10578, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07589220291235542,0.07592436790511345,3.2164992758029753e-05,0,0,False,False,True,False
PS_003,plant_balanced,13,"PS_002,PS_035,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",41476,13827,"{""PS_002"": 10578, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07792140482481999,0.078097270712866,0.000175865888046009,0,0,True,True,True,False
PS_035,row_pooled,13,"PS_002,PS_003,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",46712,15572,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_039"": 3952.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.07563834152274868,0.07563964734723788,1.305824489206131e-06,0,0,False,False,True,False
PS_035,plant_balanced,13,"PS_002,PS_003,PS_039,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",46712,15572,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_039"": 3952, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_039"": 1318, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_039"": 0.9999999999999997, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07816759018991039,0.07827785944632629,0.00011026925641589858,0,0,True,True,True,False
PS_039,row_pooled,13,"PS_002,PS_003,PS_035,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",47643,15882,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_042"": 2455.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.07293178969265847,0.07293317125424824,1.3815615897694311e-06,0,0,False,False,True,False
PS_039,plant_balanced,13,"PS_002,PS_003,PS_035,PS_042,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",47643,15882,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_042"": 2455, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_042"": 818, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_042"": 1.0, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.07566598916469812,0.07573573852347759,6.97493587794723e-05,0,0,True,True,True,False
PS_042,row_pooled,13,"PS_002,PS_003,PS_035,PS_039,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49140,16382,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 10578.0, ""PS_003"": 10119.0, ""PS_035"": 4883.0, ""PS_039"": 3952.0, ""PS_043"": 2370.0, ""PS_044"": 2503.0, ""PS_045"": 2196.0, ""PS_046"": 1710.0, ""PS_047"": 1725.0, ""PS_048"": 2215.0, ""PS_049"": 2129.0, ""PS_050"": 2521.0, ""PS_051"": 2239.0}",,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.07323631942419032,0.07325752566393152,2.1206239741208832e-05,0,0,False,False,True,False
PS_042,plant_balanced,13,"PS_002,PS_003,PS_035,PS_039,PS_043,PS_044,PS_045,PS_046,PS_047,PS_048,PS_049,PS_050,PS_051",49140,16382,"{""PS_002"": 10578, ""PS_003"": 10119, ""PS_035"": 4883, ""PS_039"": 3952, ""PS_043"": 2370, ""PS_044"": 2503, ""PS_045"": 2196, ""PS_046"": 1710, ""PS_047"": 1725, ""PS_048"": 2215, ""PS_049"": 2129, ""PS_050"": 2521, ""PS_051"": 2239}","{""PS_002"": 3526, ""PS_003"": 3373, ""PS_035"": 1628, ""PS_039"": 1318, ""PS_043"": 790, ""PS_044"": 834, ""PS_045"": 732, ""PS_046"": 570, ""PS_047"": 575, ""PS_048"": 738, ""PS_049"": 710, ""PS_050"": 841, ""PS_051"": 747}","{""PS_002"": 1.0000000000000002, ""PS_003"": 0.9999999999999999, ""PS_035"": 1.0, ""PS_039"": 0.9999999999999997, ""PS_043"": 1.0000000000000004, ""PS_044"": 0.9999999999999998, ""PS_045"": 1.0000000000000004, ""PS_046"": 0.9999999999999998, ""PS_047"": 0.9999999999999998, ""PS_048"": 1.0, ""PS_049"": 1.0, ""PS_050"": 0.9999999999999996, ""PS_051"": 1.0000000000000002}",True,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.07585678505760222,0.07590032608509677,4.354102749454247e-05,0,0,True,True,True,False
