brazil_federative_unit,id,is_panel_bifacial,nominal_power_mw,number_of_panels,panel_area_mm2,panel_bifaciality_coefficient,panel_efficiency_percentage,panel_temperature_coefficient,structure_type
SP,PS_001,true,5,12062,31516.365568,0.7,20.7,0.34,TRACKER
RJ,PS_002,true,1,2560,6688.93184,0.7,20.7,0.34,FIXED
RJ,PS_003,true,1,2560,6688.93184,0.7,20.7,0.34,FIXED
SP,PS_004,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
GO,PS_005,true,2,5032,13147.931648,0.7,20.7,0.34,TRACKER
MG,PS_006,true,4,7920,24602.30784,0.7,21.1,0.34,TRACKER
RJ,PS_007,true,1,2040,6336.95808,0.7,21.2,0.34,TRACKER
SP,PS_008,true,4,9504,24832.659456,0.7,20.9,0.34,TRACKER
SP,PS_009,true,1,1980,6150.57696,0.7,21.1,0.34,TRACKER
SP,PS_010,true,3,5040,15656.01408,0.7,21.2,0.34,TRACKER
SP,PS_011,true,3,6120,19010.87424,0.7,21.2,0.34,TRACKER
GO,PS_012,true,5,11880,31040.82432,0.7,20.9,0.34,TRACKER
SP,PS_013,true,1,2442,6380.613888,0.7,20.7,0.34,TRACKER
PR,PS_014,true,2.5,5656,14617.287216,0.7,21.3,0.35,TRACKER
MG,PS_015,true,2.55,5760,15050.09664,0.7,20.7,0.34,FIXED
MG,PS_016,true,2.55,5280,16401.53856,0.7,21.1,0.34,FIXED
SP,PS_017,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_018,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_019,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_020,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_021,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_022,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_023,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_024,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_025,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_026,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_027,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_028,true,1,1960,6088.44992,0.7,22.4,0.24,FIXED
SP,PS_029,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_030,true,2,4480,13916.45696,0.7,21.1,0.34,FIXED
SP,PS_031,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_032,true,3,6720,20874.68544,0.7,21.1,0.34,FIXED
SP,PS_033,true,3,5916,18377.178432,0.7,21.9,0.24,TRACKER
SP,PS_034,true,4,9520,24874.46528,0.7,20.3,0.34,TRACKER
SP,PS_035,true,4,8160,25347.83232,0.7,21.2,0.34,TRACKER
SP,PS_036,true,1.9,3840,11928.39168,0.7,21.2,0.34,TRACKER
RJ,PS_037,true,2,3960,12301.15392,0.7,21.1,0.34,TRACKER
SP,PS_038,true,2,4080,12673.91616,0.7,21.2,0.34,TRACKER
SP,PS_039,true,4,8160,25347.83232,0.7,21.2,0.34,TRACKER
SP,PS_040,true,1,2160,6709.72032,0.7,20.9,0.34,TRACKER
MG,PS_041,true,1.7,4140,10817.25696,0.7,20.7,0.34,TRACKER
GO,PS_042,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
GO,PS_043,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
GO,PS_044,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
MS,PS_045,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
MS,PS_046,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
MS,PS_047,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
GO,PS_048,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
GO,PS_049,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
GO,PS_050,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
BA,PS_051,true,2.5,5070,15749.20464,0.7,21.2,0.34,TRACKER
